xenocanto_10_1,ioc_12_2,comment
haplochelidon andecola,orochelidon andecola,11.2
atticora melanoleuca,pygochelidon melanoleuca,11.2
neochelidon tibialis,atticora tibialis,11.2
regulus calendula,corthylio calendula,11.2
basilornis mirandus,goodfellowia miranda,11.2
falcipennis canadensis,canachites canadensis,11.2
francolinus pondicerianus,ortygornis pondicerianus,11.2
francolinus gularis,ortygornis gularis,11.2
peliperdix coqui,campocolinus coqui,11.2
peliperdix albogularis,campocolinus albogularis,11.2
peliperdix schlegelii,campocolinus schlegelii,11.2
dendroperdix sephaena,ortygornis sephaena,11.2
coturnix ypsilophora,synoicus ypsilophorus,11.2
excalfactoria chinensis,synoicus chinensis,11.2
excalfactoria adansonii,synoicus adansonii,11.2
anurophasis monorthonyx,synoicus monorthonyx,11.2
calliphlox bryantae,philodice bryantae,11.2
calliphlox mitchellii,philodice mitchellii,11.2
ptilinopus epius,ptilinopus gularis,11.2
phigys solitarius,vini solitaria,11.2
psitteuteles iris,saudareos iris,11.2
psitteuteles goldiei,glossoptilus goldiei,11.2
trichoglossus ornatus,saudareos ornata,11.2
trichoglossus flavoviridis,saudareos flavoviridis,11.2
trichoglossus johnstoniae,saudareos johnstoniae,11.2
herpsilochmus sellowi,radinopsyche sellowi,12.1
sakesphorus cristatus,sakesphoroides cristatus,12.1
lichmera lombokia,sugomel lombokium,12.1
monarcha rubiensis,symposiachrus rubiensis,12.1
paradisaea rudolphi,paradisornis rudolphi,12.1
phedina brazzae,phedinopsis brazzae,12.1
cataponera turdoides,turdus turdoides,12.1
cyornis concretus,leucoptilon concretum,12.1
cossypha ansorgei,xenocopsychus ansorgei,12.1
anthus lutescens,anthus chii,12.1
euphonia elegantissima,chlorophonia elegantissima,12.1
euphonia cyanocephala,chlorophonia cyanocephala,12.1
euphonia musica,chlorophonia musica,12.1
amphispiza quinquestriata,amphispizopsis quinquestriata,12.1
circaetus spectabilis,dryotriorchis spectabilis,12.2
accipiter superciliosus,microspizias superciliosus,12.2
accipiter collaris,microspizias collaris,12.2
sugomel niger,sugomel nigrum,12.2
urosphena pallidipes,hemitesia pallidipes,12.2
urosphena neumanni,hemitesia neumanni,12.2
nyctibius bracteatus,phyllaemulor bracteatus,12.2
clytolaema rubricauda,heliodoxa rubricauda,12.2
gallirallus calayanensis,aptenorallus calayanensis,12.2
chlorostilbon bracei,riccordia bracei,Wikidata
bubo vosseleri,bubo poensis,wikipedia
picumnus fulvescens,picumnus limae,wikipedia
lepidocolaptes layardi,lepidocolaptes fuscicapillus,wikipedia
corvus caurinus,corvus brachyrhynchos,wikipedia
picumnus nigropunctatus,picumnus nigropunctatus,wikipedia
caracara cheriway,caracara plancus,wikipedia
chlorostilbon elegans,riccordia elegans,Wikipedia synonym
chlorostilbon ricordii,riccordia ricordii,Wikipedia synonym
chlorostilbon swainsonii,riccordia swainsonii,Wikipedia synonym
chlorostilbon maugaeus,riccordia maugaeus,Wikipedia synonym
stachyris melanothorax,cyanoderma melanothorax,wikipedia+10.2
scytalopus sp.nov.ampay,scytalopus whitneyi,11.1
scytalopus sp.nov.millpo,scytalopus frankeae,11.1
cisticola tax.nov.kilombero_2,cisticola anderseni,11.2
cisticola tax.nov.kilombero_1,cisticola bakerorum,11.2
pandion cristatus,pandion haliaetus,11.2
