ebird2021,bird_genera,comment
bcptyr1,myiornis,
bcrfin,leucosticte,
bcrtai1,prioniturus,
bcrthr1,monticola,
bcslar1,eremopterix,
bcswea1,pseudonigrita,
bctspi1,leptasthenura,
bcweye2,zosterops,
bcwfin1,castanozoster,
bcwfin2,microspingus,
bcwpar1,dendrortyx,
bcwspi1,spartonoica,
bcwwar1,phylloscopus,
beabar1,lybius,
beabel1,procnias,
beafir1,stagonopleura,
beagua1,penelope,
beahum1,calothorax,
beajay1,cyanolyca,
beakin2,todiramphus,
beamou1,oreonympha,
beanut1,sitta,
bearee1,panurus,
bearos1,carpodacus,
beasib1,heterophasia,
beasne1,circaetus,
beasun2,cinnyris,
beatac1,polystictus,
beathk1,esacus,
beatre1,margarornis,
beawoo1,chloropicus,
beawoo2,melanerpes,
becpet1,pseudobulweria,
becscr1,sericornis,
beehum1,mellisuga,
beelar1,chersomanes,
befdov1,ptilinopus,
begdov1,metriopelia,
begdov2,columbina,
beibab1,rhopophilus,
belfly1,xenotriccus,
belgul,larus,
belkin1,megaceryle,
belmel1,melidectes,
belmin1,manorina,
belspa2,artemisiospiza,
belvir,vireo,
belyel1,geothlypis,
benbus1,mirafra,
benbuw1,locustella,
benflo2,houbaropsis,
benlar1,certhilauda,
benthr,toxostoma,
benwea1,ploceus,
benwoo1,campethera,
bepfly1,terpsiphone,
berant1,drymophila,
bercan1,asthenes,
berfli1,colaptes,
berhaw1,bermuteo,
berhum,saucerottia,
bernih1,nyctanassa,
berpet,pterodroma,
berpip1,anthus,
bertea1,anas,
bertin1,crypturellus,
bertow1,pipilo,
bervan1,oriolia,
berwea2,ploceus,
besbab1,pteruthius,
beslar1,eremopterix,
besowl,megascops,
besra1,accipiter,
besrob1,cercotrichas,
bestan1,tangara,
beweye1,zosterops,
bewpar1,dendrortyx,
bewqua1,odontophorus,
bewwre,thryomanes,
bfbwar1,horornis,
bffgle,dendroma,
bfgbir1,corythaixoides,
bfgdov1,metriopelia,
bfgtyr1,muscisaxicola,
bfoboo,sula,
bfpgua1,pipile,
bfppar1,micropsitta,
bfqdov1,zentrygon,
bfweye1,zosterops,
bfwqua1,odontophorus,
bhbeat1,merops,
bhbeat2,merops,
bhcfly1,trochocercus,
bhmfin1,leucosticte,
bhnthr1,catharus,
bhpfly1,terpsiphone,
bhpkin1,tanysiptera,
bhptit1,remiz,
bhqdov1,starnoenas,
bhrtai1,prioniturus,
bhsbab1,pteruthius,
bhsfin1,phrygilus,
bhtfly1,todirostrum,
bhulau1,trochalopteron,
bhwdov1,turtur,
bhweye1,zosterops,
biacou1,centropus,
biafly1,myiagra,
biager1,gerygone,
biamon1,symposiachrus,
biasco1,otus,
biawar1,phylloscopus,
biawhi1,pachycephala,
bicant2,gymnopithys,
bicant3,grallaria,
bicant4,dysithamnus,
biccon1,conirostrum,
bicflo1,dicaeum,
bichaw1,accipiter,
bichaw4,accipiter,
bicpen1,eudyptes,
bicthr,catharus,
bicwre1,campylorhynchus,
bielau1,ianthocincla,
biipig1,ducula,
bimlar1,melanocorypha,
bimwar1,crateroscelis,
bipkin1,tanysiptera,
bisfan1,rhipidura,
bisfly1,microeca,
bishao1,ninox,
biskin1,ceyx,
bismel1,vosea,
bismun1,lonchura,
bisoo,moho,
bisswi1,streptoprocne,
bisthi1,cincloramphus,
biswhi1,pachycephala,
biswoo1,artamus,
biweye1,zosterops,
bkbalb,thalassarche,
bkbalb2,thalassarche,
bkbbit1,ixobrychus,
bkbbrt1,talegalla,
bkbbus1,lissotis,
bkbcuc,coccyzus,
bkbcus1,edolisoma,
bkbcus2,edolisoma,
bkbful1,alcippe,
bkbkin1,ceyx,
bkbkit1,hamirostra,
bkbkoe1,eudynamys,
bkbmag1,pica,
bkbmyz1,myzomela,
bkbowl1,ciccaba,
bkbplo,pluvialis,
bkbsht1,agriornis,
bkbsne1,circaetus,
bkbsun1,cinnyris,
bkbtan1,ramphocelus,
bkbtho1,discosura,
bkbthr3,turdus,
bkbthr4,turdus,
bkbtit1,poecile,
bkbtit2,periparus,
bkbtit3,aegithalos,
bkbtit4,aegithalos,
bkbtit6,aegithalos,
bkbtof1,poecilotriccus,
bkbwar,setophaga,
bkbwoo,picoides,
bkcbar1,actinodura,
bkcbul1,rubigula,
bkcbul2,rubigula,
bkcbul3,rubigula,
bkcbul4,rubigula,
bkccat1,ailuroedus,
bkcchi,poecile,
bkcdon,donacobius,
bkcful1,schoeniparus,
bkcgna,polioptila,
bkchem2,kleinothraupis,
bkchum,archilochus,
bkclau1,montecincla,
bkclau2,montecincla,
bkcmon1,neoxolmis,
bkcmot1,anisognathus,
bkcori,icterus,
bkcpet,pterodroma,
bkcpet2,pterodroma,
bkcpip1,piprites,
bkcruw1,bathmocercus,
bkcsco1,megascops,
bkcspa,spizella,
bkcsta1,gracupica,
bkctch1,tchagra,
bkctit1,anairetes,
bkcvir1,vireo,
bkcwea1,ploceus,
bkcwhe1,zosterops,
bkcwhi1,pachycephala,
bkefai1,heliothryx,
bkegrt1,geokichla,
bkehem1,sphenopsis,
bkehem3,sphenopsis,
bkewhe2,oenanthe,
bkfalb,phoebastria,
bkfant2,formicarius,
bkfbab1,turdoides,
bkfbrf1,atlapetes,
bkfcus1,coracina,
bkfdac1,dacnis,
bkffir1,lagonosticta,
bkffri1,philemon,
bkffri2,philemon,
bkfgra,melanospiza,
bkfibi2,theristicus,
bkfqua1,ortygospiza,
bkfruw1,bathmocercus,
bkhbat1,batis,
bkhber1,carpornis,
bkhcan1,serinus,
bkhcus1,lalage,
bkhgre1,chloris,
bkhgro,pheucticus,
bkhgul,chroicocephalus,
bkhpaf2,terpsiphone,
bkhpar,aratinga,
bkhpar1,psittiparus,
bkhpit1,erythropitta,
bklbab1,turdoides,
bklkit,rissa,
bkmtou1,ramphastos,
bknfrd1,ptilinopus,
bknsti,himantopus,
bknsti2,himantopus,
bkpwar,setophaga,
bkrfin,leucosticte,
bkrfla2,dinopium,
bkrwax,estrilda,
bkrwhe1,zosterops,
bksbrf1,atlapetes,
bkskit1,elanus,
bksnig1,caprimulgus,
bkspet,hydrobates,
bksscb1,erythrogenys,
bktflo1,diglossa,
bktgna,polioptila,
bktgod,limosa,
bktgul,larus,
bkther1,phaethornis,
bktshr1,clytorhynchus,
bktshr2,clytorhynchus,
bktspa,amphispiza,
bkttre1,climacteris,
bkttro2,trogon,
bkvori,icterus,
bkvshe,puffinus,
bkwcus1,lalage,
bkwpet,pterodroma,
bkwsta1,acridotheres,
bkwsti,himantopus,
bkwvir,vireo,
blaant1,thamnophilus,
blaant2,cercomacroides,
blaant4,cercomacroides,
blaant5,cercomacroides,
blabab2,turdoides,
blabaz1,aviceda,
blaber1,melanocharis,
blabis1,euplectes,
blabit1,ixobrychus,
blabul1,hypsipetes,
blabus1,neoctantes,
blabus3,eupodotis,
blabut1,cracticus,
blacar1,daptrius,
blacat1,melanoptila,
blacin1,cinclodes,
blackc1,sylvia,
blacks1,oenanthe,
blacou1,centropus,
blacra1,zapornia,
blacuc1,cuculus,
blacur1,crax,
blacur2,strepera,
blacus1,analisoma,
bladro1,dicrurus,
blaeag1,ictinaetus,
blafal1,falco,
blafan1,rhipidura,
blagos1,accipiter,
blagra1,amytornis,
blagro1,lyrurus,
blagua1,chamaepetes,
blagui1,agelastes,
blahar1,circus,
blaher1,egretta,
blahon1,sugomel,
blahor1,anthracoceros,
blaill1,illadopsis,
blainc1,coeligena,
blakit1,milvus,
blalar1,melanocorypha,
blalar2,calandrella,
blalar4,calandrella,
blalau1,melanocichla,
blalor1,chalcopsitta,
blamag1,platysmurus,
blaman1,xenopipo,
blamet1,metallura,
blamon1,symposiachrus,
blamun1,lonchura,
blamyz1,myzomela,
blanig1,nyctipolus,
blanun1,monasa,
blaori1,oriolus,
blaoro1,psarocolius,
blaoys1,haematopus,
blapar1,coracopsis,
blapar2,melanoperdix,
blapew1,contopus,
blapit1,melanorectes,
blaplo1,vanellus,
blarai1,pardirallus,
blared1,phoenicurus,
blarob1,turdus,
blaros1,agraphospiza,
blasha1,copsychus,
blasic1,epimachus,
blasis1,spinus,
blasno1,montifringilla,
blasol1,entomodestes,
blaspi1,telacanthura,
blasti1,himantopus,
blasto1,ciconia,
blatap1,scytalopus,
blatin1,tinamus,
blawhe1,oenanthe,
blawoo1,dryocopus,
blbant1,thamnophilus,
blbant2,formicivora,
blbbab1,malacocincla,
blbbar1,lybius,
blbbar2,psilopogon,
blbbar3,lybius,
blbbar4,lybius,
blbbar5,psilopogon,
blbboa1,machaerirhynchus,
blbbut1,cracticus,
blbbut2,turnix,
blbcap1,tetrao,
blbcon1,conirostrum,
blbcra1,anurolimnas,
blbcuc1,piaya,
blbduc1,oxyura,
blbeat1,merops,
blbfai1,malurus,
blbfir1,lagonosticta,
blbflo1,dicaeum,
blbfly1,aphanotriccus,
blbfly2,ficedula,
blbfly3,cyornis,
blbfor1,enicurus,
blbgna1,conopophaga,
blbgra1,volatinia,
blbgro2,pheucticus,
blbgul1,chroicocephalus,
blbhil1,oreotrochilus,
blbhon1,ptiloprora,
blbhum1,eupherusa,
blbkin1,pelargopsis,
blbkin2,alcedo,
blbkin3,todiramphus,
blbkin4,halcyon,
blbmal1,phaenicophaeus,
blbman1,chiroxiphia,
blbmon1,symposiachrus,
blbmon2,symposiachrus,
blbmun1,lonchura,
blbmyz1,myzomela,
blbori1,icterus,
blbpar1,amazona,
blbpar2,paradoxornis,
blbpar3,chleuasicus,
blbpar4,triclaria,
blbpep1,cyclarhis,
blbpit1,erythropitta,
blbpuf1,notharchus,
blbpuf2,dryoscopus,
blbpuf3,eriocnemis,
blbqua1,synoicus,
blbrol1,coracias,
blbsan1,pterocles,
blbscy1,campylorhamphus,
blbsee1,pyrenestes,
blbsee2,sporophila,
blbsee3,amaurospiza,
blbsib1,heterophasia,
blbsic1,drepanornis,
blbtan1,stilpnia,
blbtan2,cyanicterus,
blbtan3,tangara,
blbter1,sterna,
blbtho1,ramphomicron,
blbthr1,turdus,
blbthr2,turdus,
blbtou1,aulacorhynchus,
blbtre1,thripadectes,
blbtri1,lalage,
blbtur1,tauraco,
blbwea1,ploceus,
blbwoo1,dendrocolaptes,
blbwoo2,phoeniculus,
blbwoo3,dryocopus,
blbwre1,pheugopedius,
blcant1,pittasoma,
blcant2,herpsilochmus,
blcant3,hypocnemoides,
blcant4,sakesphorus,
blcapa1,apalis,
blcapa2,oreolais,
blcbab1,pellorneum,
blcbab2,cyanoderma,
