ioc_12_2,ebird2021_issf,comment
oenanthe seebohmi,norwhe3,oenanthe oenanthe seebohmi
otus feae,afrsco3,otus senegalensis feae
heteromyias armiti,ashrob2,heteromyias albispecularis [armiti group]
corvus samarensis,slbcro4,corvus enca samarensis/sierramadrensis
kleinothraupis auricularis,bkchem2,kleinothraupis atropileus auricularis
sturnella lilianae,lilmea2,sturnella magna [lilianae group]
phylloscopus floresianus,tilwar3,phylloscopus presbytes floresianus
cynanthus lawrencei,brbhum3,cynanthus latirostris lawrencei
turnix novaecaledoniae,paibut1,turnix varius novaecaledoniae
bleda ugandae,lesbri3,bleda notatus ugandae
oenanthe warriae,mouwhe7,oenanthe lugens warriae
scleroptila elgonensis,moofra3,scleroptila psilolaema elgonensis
sphenopsis ochracea,bkehem3,sphenopsis melanotis ochracea
myzomela rubrobrunnea,dusmyz2,myzomela obscura rubrobrunnea
otus mendeni,sulsco5,otus manadensis mendeni
sheppardia poensis,bocaka3,sheppardia bocagei poensis
myzomela rubrotincta,dusmyz3,myzomela obscura rubrotincta
campethera taeniolaema,tulwoo3,campethera tullbergi taeniolaema/hausburgi
dicrurus palawanensis,hacdro9,dicrurus hottentottus palawanensis
tanygnathus everetti,azrpar8,tanygnathus sumatranus [everetti group]
dicaeum kampalili,flcflo3,dicaeum anthonyi kampalili/masawan
myzomela longirostris,recmyz3,myzomela rosenbergii longirostris
curruca althaea,humwhi1,curruca curruca althaea
oriolus finschi,timori3,oriolus melanotis finschi
merops lafresnayii,bubbee2,merops variegatus lafresnayii
gerygone citrina,fatger3,gerygone flavolateralis citrina
larvivora namiyei,ryurob3,larvivora komadori namiyei
zosterops chrysolaemus,bkfwhe1,zosterops minor [chrysolaemus group]
myiagra cervinicolor,dulfly4,myiagra hebetior cervinicolor
psittinus abbotti,burpar5,psittinus cyanurus abbotti
illadopsis distans,pabill3,illadopsis rufipennis distans/pugensis
ptilinopus chrysogaster,gygfrd2,ptilinopus purpuratus chrysogaster
crithagra striatipectus,reisee3,crithagra reichardi striatipectus
zosterops hamlini,gytwhe2,zosterops rendovae hamlini
ninox leucopsis,souboo3,ninox novaeseelandiae leucopsis
coracopsis sibilans,levpar1,coracopsis nigra sibilans
cyornis ocularis,chtjuf3,cyornis ruficauda ocularis
cyornis ruficrissa,chtjuf4,cyornis ruficauda ruficrissa/isola
lepidothrix velutina,bucman1,lepidothrix coronata velutina/minuscula
curruca minula,smawhi1,curruca curruca minula
pycnonotus leucops,flabul3,pycnonotus flavescens leucops
centropus spilopterus,kaicou1,centropus phasianinus spilopterus
myzomela batjanensis,sulmyz3,myzomela chloroptera batjanensis
taeniopygia castanotis,chefin1,taeniopygia guttata castanotis
lycocorax obiensis,paradi3,lycocorax pyrrhopterus obiensis
pachyptila macgillivrayi,salpri3,pachyptila salvini macgillivrayi
picus dedemi,gyhwoo4,picus canus dedemi
anthracothorax aurulentus,antman3,anthracothorax dominicus aurulentus
cyornis stresemanni,flojuf3,cyornis oscillans stresemanni
cincloramphus turipavae,guathi3,cincloramphus whitneyi turipavae
zosterops crookshanki,capwhe8,zosterops fuscicapilla crookshanki
cittura sanghirensis,lickin1,cittura cyanotis sanghirensis
sterrhoptilus affinis,bkcbab3,sterrhoptilus nigrocapitatus affinis
riccordia elegans,braeme3,riccordia bracei elegans
cyanoderma bicolor,chwbab3,cyanoderma erythropterum bicolor/rufum
myzomela simplex,dusmyz4,myzomela obscura simplex/mortyana
otus tempestatis,molsco2,otus magicus tempestatis
athene malaitae,solboo3,Solomons Boobook (Malaita)
athene roseoaxillaris,solboo4,Solomons Boobook (Makira)
rhamphocharis piperata,spober3,Melanocharis crassirostris piperata/viridescens
picumnus nigropunctatus,gospic3,Picumnus squamulatus obsoletus
athene granti,solboo2,Solomons Boobook (Guadalcanal)
corvus pusillus,hacdro9,Dicrurus hottentottus palawanensis
symposiachrus melanopterus,spemon2,Symposiachrus trivirgatus [trivirgatus Group]
ramosomyia wagneri,gnfhum2,Leucolia viridifrons wagneri
