bird_genera,bird_families,comment
ferminia,troglodytidae,
ficedula,muscicapidae,
florisuga,trochilidae,
fluvicola,tyrannidae,
formicarius,formicariidae,
formicivora,thamnophilidae,
forpus,psittacidae,
foudia,ploceidae,
foulehaio,meliphagidae,
francolinus,phasianidae,
fraseria,muscicapidae,
fratercula,alcidae,
frederickena,thamnophilidae,
fregata,fregatidae,
fregetta,oceanitidae,
fregilupus,sturnidae,
fringilla,fringillidae,
fulica,rallidae,
fulmarus,procellariidae,
fulvetta,sylviidae,
furnarius,furnariidae,
gactornis,caprimulgidae,
galbalcyrhynchus,galbulidae,
galbula,galbulidae,
galerida,alaudidae,
gallicolumba,columbidae,
gallicrex,rallidae,
gallinago,scolopacidae,
gallinula,rallidae,
gallirallus,rallidae,
galloperdix,phasianidae,
gallus,phasianidae,
gampsonyx,accipitridae,
gampsorhynchus,pellorneidae,
garrodia,oceanitidae,
garrulax,leiothrichidae,
garrulus,corvidae,
gavia,gaviidae,
gavicalis,meliphagidae,
gecinulus,picidae,
gelochelidon,laridae,
geocerthia,furnariidae,
geococcyx,cuculidae,
geocolaptes,picidae,
geoffroyus,psittaculidae,
geokichla,turdidae,
geopelia,columbidae,
geophaps,columbidae,
geositta,furnariidae,
geospiza,thraupidae,
geospizopsis,thraupidae,
geothlypis,parulidae,
geotrygon,columbidae,
geranoaetus,accipitridae,
geranospiza,accipitridae,
geronticus,threskiornithidae,
gerygone,acanthizidae,
glareola,glareolidae,
glaucestrilda,estrildidae,
glaucidium,strigidae,
glaucis,trochilidae,
gliciphila,meliphagidae,
glossopsitta,psittaculidae,
glossoptila,psittaculidae,
glycichaera,meliphagidae,
glyphorynchus,furnariidae,
gnorimopsar,icteridae,
goldmania,trochilidae,
goodfellowia,sturnidae,
gorsachius,ardeidae,
goura,columbidae,
gracula,sturnidae,
gracupica,sturnidae,
grafisia,sturnidae,
grallaria,grallariidae,
grallaricula,grallariidae,
grallina,monarchidae,
graminicola,pellorneidae,
grammatoptila,leiothrichidae,
granatellus,cardinalidae,
granatina,estrildidae,
grandala,turdidae,
grantiella,meliphagidae,
graueria,macrosphenidae,
graydidascalus,psittacidae,
grus,gruidae,
guadalcanaria,meliphagidae,
guaruba,psittacidae,
gubernatrix,thraupidae,
gubernetes,tyrannidae,
guira,cuculidae,
gulosus,phalacrocoracidae,
guttera,numididae,
guyramemua,tyrannidae,
gygis,laridae,
gymnasio,strigidae,
gymnobucco,lybiidae,
gymnocichla,thamnophilidae,
gymnocrex,rallidae,
gymnoderus,cotingidae,
gymnogyps,cathartidae,
gymnomystax,icteridae,
gymnomyza,meliphagidae,
gymnophaps,columbidae,
gymnopithys,thamnophilidae,
gymnorhina,artamidae,
gymnorhinus,corvidae,
gymnoris,passeridae,
gypaetus,accipitridae,
gypohierax,accipitridae,
gyps,accipitridae,
gypsophila,pellorneidae,
habia,cardinalidae,
haematoderus,cotingidae,
haematopus,haematopodidae,
haematortyx,phasianidae,
haemorhous,fringillidae,
hafferia,thamnophilidae,
halcyon,alcedinidae,
haliaeetus,accipitridae,
haliastur,accipitridae,
halobaena,procellariidae,
hamirostra,accipitridae,
hapalocrex,rallidae,
hapalopsittaca,psittacidae,
hapaloptila,bucconidae,
haplophaedia,trochilidae,
haplospiza,thraupidae,
harpactes,trogonidae,
harpagus,accipitridae,
harpia,accipitridae,
harpyopsis,accipitridae,
hartertula,bernieridae,
hartlaubius,sturnidae,
hedydipna,nectariniidae,
heinrichia,muscicapidae,
heleia,zosteropidae,
heliactin,trochilidae,
heliangelus,trochilidae,
helicolestes,accipitridae,
heliobletus,furnariidae,
heliodoxa,trochilidae,
heliomaster,trochilidae,
heliopais,heliornithidae,
heliornis,heliornithidae,
heliothryx,trochilidae,
hellmayrea,furnariidae,
helmitheros,parulidae,
helopsaltes,locustellidae,
hemicircus,picidae,
hemignathus,fringillidae,
hemimacronyx,motacillidae,
hemiphaga,columbidae,
hemiprocne,hemiprocnidae,
hemipus,vangidae,
hemithraupis,thraupidae,
hemitriccus,tyrannidae,
hemixos,pycnonotidae,
henicopernis,accipitridae,
henicophaps,columbidae,
henicorhina,troglodytidae,
herpetotheres,falconidae,
herpsilochmus,thamnophilidae,
heteralocha,callaeidae,
heterocercus,pipridae,
heteromirafra,alaudidae,
heteromunia,estrildidae,
heteromyias,petroicidae,
heteronetta,anatidae,
heterophasia,leiothrichidae,
heterospingus,thraupidae,
heteroxolmis,tyrannidae,
hieraaetus,accipitridae,
hierococcyx,cuculidae,
himantopus,recurvirostridae,
himantornis,rallidae,
himatione,fringillidae,
hippolais,acrocephalidae,
hirundapus,apodidae,
hirundinea,tyrannidae,
hirundo,hirundinidae,
histrionicus,anatidae,
histurgops,ploceidae,
horizocerus,bucerotidae,
horornis,scotocercidae,
houbaropsis,otididae,
humblotia,muscicapidae,
hydrobates,hydrobatidae,
hydrochous,apodidae,
hydrocoloeus,laridae,
hydrophasianus,jacanidae,
hydroprogne,laridae,
hydropsalis,caprimulgidae,
hydrornis,pittidae,
hylacola,acanthizidae,
hylexetastes,furnariidae,
hylia,macrosphenidae,
hyliota,hyliotidae,
hylocharis,trochilidae,
hylocichla,turdidae,
hylocitrea,hylocitreidae,
hylomanes,momotidae,
hylonympha,trochilidae,
hylopezus,grallariidae,
hylophilus,vireonidae,
hylophylax,thamnophilidae,
hylopsar,sturnidae,
hylorchilus,troglodytidae,
hymenolaimus,anatidae,
hymenops,tyrannidae,
hypargos,estrildidae,
hypergerus,cisticolidae,
hypnelus,bucconidae,
hypocharmosyna,psittaculidae,
hypocnemis,thamnophilidae,
hypocnemoides,thamnophilidae,
hypocolius,hypocoliidae,
hypocryptadius,passeridae,
hypoedaleus,thamnophilidae,
hypopyrrhus,icteridae,
hypositta,vangidae,
hypothymis,monarchidae,
hypsipetes,pycnonotidae,
ianthocincla,leiothrichidae,
ibidorhyncha,ibidorhynchidae,
ibycter,falconidae,
ichthyaetus,laridae,
icteria,icteriidae,
icterus,icteridae,
ictinaetus,accipitridae,
ictinia,accipitridae,
idiopsar,thraupidae,
iduna,acrocephalidae,
ifrita,ifritidae,
ilicura,pipridae,
illadopsis,pellorneidae,
incana,cisticolidae,
incaspiza,thraupidae,
indicator,indicatoridae,
inezia,tyrannidae,
iodopleura,tityridae,
iole,pycnonotidae,
irania,muscicapidae,
irediparra,jacanidae,
irena,irenidae,
iridophanes,thraupidae,
iridosornis,thraupidae,
isleria,thamnophilidae,
ispidina,alcedinidae,
ithaginis,phasianidae,
ixobrychus,ardeidae,
ixonotus,pycnonotidae,
ixoreus,turdidae,
ixos,pycnonotidae,
ixothraupis,thraupidae,
jabiru,ciconiidae,
jacamaralcyon,galbulidae,
jacamerops,galbulidae,
jacana,jacanidae,
jubula,strigidae,
junco,passerellidae,
jynx,picidae,
kakamega,modulatricidae,
kaupifalco,accipitridae,
kenopia,pellorneidae,
ketupa,strigidae,
klais,trochilidae,
kleinothraupis,thraupidae,
knipolegus,tyrannidae,
kurochkinegramma,nectariniidae,
lacedo,alcedinidae,
lafresnaya,trochilidae,
lagonosticta,estrildidae,
lagopus,phasianidae,
lalage,campephagidae,
lampornis,trochilidae,
lamprolaima,trochilidae,
lamprolia,rhipiduridae,
lampropsar,icteridae,
lamprospiza,mitrospingidae,
lamprotornis,sturnidae,
laniarius,malaconotidae,
laniellus,leiothrichidae,
laniisoma,tityridae,
lanio,thraupidae,
laniocera,tityridae,
lanioturdus,platysteiridae,
lanius,laniidae,
larosterna,laridae,
