xenocanto_11_2,ebird2022_species,comment
pyrocephalus dubius,brufly1,Name change (per Avibase)
silvicultrix frontalis,crocht1,Name change (per Avibase)
silvicultrix spodionota,crocht1,Name change (per Avibase)
ochthoeca cinnamomeiventris,slbcht2,Name change (per Avibase)
tumbezia salvini,tumtyr2,Name change (per Avibase)
cnemarchus erythropygius,rrbtyr1,Name change (per Avibase)
myiotheretes striaticollis,stbtyr1,Name change (per Avibase)
myiotheretes pernix,smbtyr1,Name change (per Avibase)
myiotheretes fumigatus,smbtyr2,Name change (per Avibase)
myiotheretes fuscorufus,rbbtyr1,Name change (per Avibase)
cnemarchus rufipennis,rwbtyr1,Name change (per Avibase)
nengetus cinereus,grymon1,Name change (per Avibase)
agriornis micropterus,gybsht1,Name change (per Avibase)
muscisaxicola maculirostris,sbgtyr1,Name change (per Avibase)
syrtidicola fluviatilis,ligtyr1,Name change (per Avibase)
muscisaxicola maclovianus,dafgrt1,Name change (per Avibase)
muscisaxicola capistratus,cibgrt1,Name change (per Avibase)
muscisaxicola rufivertex,rngtyr1,Name change (per Avibase)
muscisaxicola juninensis,pugtyr1,Name change (per Avibase)
muscisaxicola albilora,wbgtyr1,Name change (per Avibase)
muscisaxicola alpinus,plcgrt1,Name change (per Avibase)
muscisaxicola griseus,tacgrt1,Name change (per Avibase)
muscisaxicola cinereus,cingrt1,Name change (per Avibase)
muscisaxicola albifrons,wfgtyr1,Name change (per Avibase)
muscisaxicola flavinucha,ongtyr1,Name change (per Avibase)
muscisaxicola frontalis,bfgtyr1,Name change (per Avibase)
knipolegus hudsoni,hubtyr1,Name change (per Avibase)
knipolegus poecilocercus,ambtyr1,Name change (per Avibase)
knipolegus signatus,andtyr3,Name change (per Avibase)
knipolegus cabanisi,andtyr2,Name change (per Avibase)
knipolegus cyanirostris,bbbtyr1,Name change (per Avibase)
knipolegus aterrimus,whwblt1,Name change (per Avibase)
knipolegus franciscanus,whwblt2,Name change (per Avibase)
knipolegus nigerrimus,vebtyr1,Name change (per Avibase)
knipolegus lophotes,crbtyr1,Name change (per Avibase)
fluvicola pica,piwtyr1,Name change (per Avibase)
fluvicola albiventer,bbwtyr1,Name change (per Avibase)
fluvicola nengeta,mawtyr1,Name change (per Avibase)
muscipipra vetula,shtgrt1,Name change (per Avibase)
attila bolivianus,ducatt1,Name change (per Avibase)
attila rufus,gyhatt1,Name change (per Avibase)
rhytipterna simplex,gramou1,Name change (per Avibase)
myiarchus panamensis,panfly1,Name change (per Avibase)
tyrannus dominicensis,grykin,Name change (per Avibase)
griseotyrannus aurantioatrocristatus,croslf1,Name change (per Avibase)
myiozetetes granadensis,grcfly1,Name change (per Avibase)
pachyramphus xanthogenys,grbbec1,Name change (per Avibase)
pachyramphus major,grcbec1,Name change (per Avibase)
phoenicircus nigricollis,bnrcot1,Name change (per Avibase)
phoenicircus carnifex,gurcot1,Name change (per Avibase)
laniisoma elegans,shlcot1,Name change (per Avibase)
laniisoma buckleyi,shlcot1,Name change (per Avibase)
phibalura flavirostris,swtcot1,Name change (per Avibase)
phibalura boliviana,swtcot1,Name change (per Avibase)
lipaugus conditus,gywcot1,Name change (per Avibase)
snowornis subalaris,gytpih1,Name change (per Avibase)
oxyruncus cristatus,sharpb1,Name change (per Avibase)
schiffornis olivacea,thlsch7,Name change (per Avibase)
piprites griseiceps,grhpip1,Name change (per Avibase)
neopipo cinnamomea,cinmat1,Name change (per Avibase)
heterocercus flavivertex,yecman2,Name change (per Avibase)
heterocercus aurantiivertex,orcman3,Name change (per Avibase)
heterocercus linteatus,flcman2,Name change (per Avibase)
chiroxiphia caudata,swtman1,Name change (per Avibase)
sakesphorus cristatus,sicant1,Name change (per Avibase)
thamnophilus nigrocinereus,blgant2,Name change (per Avibase)
thamnophilus punctatus,norsla1,Name change (per Avibase)
thamnophilus stictocephalus,natsla1,Name change (per Avibase)
thamnophilus sticturus,bolsla1,Name change (per Avibase)
thamnophilus pelzelni,plasla1,Name change (per Avibase)
thamnophilus ambiguus,soosla1,Name change (per Avibase)
xenornis setifrons,spfant1,Name change (per Avibase)
myrmotherula surinamensis,guista1,Name change (per Avibase)
myrmotherula multostriata,amasta1,Name change (per Avibase)
myrmotherula axillaris,whfant2,Name change (per Avibase)
myrmotherula luctuosa,whfant2,Name change (per Avibase)
myrmotherula grisea,ashant1,Name change (per Avibase)
myrmotherula menetriesii,gryant1,Name change (per Avibase)
herpsilochmus sellowi,caaant1,Name change (per Avibase)
formicivora grisea,whfant1,Name change (per Avibase)
formicivora intermedia,whfant1,Name change (per Avibase)
cercomacra cinerascens,gryant2,Name change (per Avibase)
hypocnemis cantator,guiwaa1,Name change (per Avibase)
hypocnemis flavescens,imewaa1,Name change (per Avibase)
hypocnemis subflava,yebwaa1,Name change (per Avibase)
hypocnemis peruviana,perwaa1,Name change (per Avibase)
hypocnemis ochrogyna,ronwaa1,Name change (per Avibase)
hypocnemis striata,spiwaa1,Name change (per Avibase)
hypocnemis rondoni,manwaa1,Name change (per Avibase)
ammonastes pelzelni,gybant1,Name change (per Avibase)
sciaphylax hemimelaena,chtant2,Name change (per Avibase)
sciaphylax castanea,zimant1,Name change (per Avibase)
percnostola melanoceps,whsant1,Name change (per Avibase)
percnostola goeldii,goeant1,Name change (per Avibase)
percnostola fortis,sooant1,Name change (per Avibase)
percnostola immaculata,immant1,Name change (per Avibase)
percnostola zeledoni,zelant1,Name change (per Avibase)
ampelornis griseiceps,gyhant1,Name change (per Avibase)
geositta maritima,gramin1,Name change (per Avibase)
cinclodes oustaleti,gyfcin1,Name change (per Avibase)
cinclodes taczanowskii,surcin1,Name change (per Avibase)
cinclodes nigrofumosus,seacin1,Name change (per Avibase)
furnarius figulus,wibhor1,Name change (per Avibase)
furnarius leucopus,palhor2,Name change (per Avibase)
furnarius longirostris,palhor2,Name change (per Avibase)
furnarius cinnamomeus,palhor2,Name change (per Avibase)
furnarius torridus,pabhor2,Name change (per Avibase)
sylviorthorhynchus desmurii,demwir1,Name change (per Avibase)
leptasthenura striata,sttspi1,Name change (per Avibase)
synallaxis cinerascens,gybspi1,Name change (per Avibase)
synallaxis maranonica,marspi3,Name change (per Avibase)
cranioleuca semicinerea,gyhspi1,Name change (per Avibase)
asthenes dorbignyi,crbcan1,Name change (per Avibase)
asthenes arequipae,crbcan1,Name change (per Avibase)
phacellodomus rufifrons,ruftho1,Name change (per Avibase)
phacellodomus inornatus,ruftho1,Name change (per Avibase)
xenerpestes minlosi,dobgra1,Name change (per Avibase)
xenerpestes singularis,equgra1,Name change (per Avibase)
margarornis stellatus,fudtre1,Name change (per Avibase)
pseudoseisura unirufa,rufcac2,Name change (per Avibase)
automolus subulatus,strwoo1,Name change (per Avibase)
automolus virgatus,strwoo1,Name change (per Avibase)
syndactyla dimidiata,rumfog1,Name change (per Avibase)
thripadectes scrutator,rubtre1,Name change (per Avibase)
anabazenops dorsalis,ducfog1,Name change (per Avibase)
syndactyla roraimae,wtfgle1,Name change (per Avibase)
clibanornis rectirostris,ccfgle1,Name change (per Avibase)
sclerurus mexicanus,tatlea1,Name change (per Avibase)
sclerurus obscurior,soalea1,Name change (per Avibase)
sclerurus albigularis,grtlea1,Name change (per Avibase)
hylexetastes brigidai,uniwoo1,Name change (per Avibase)
hylexetastes uniformis,uniwoo1,Name change (per Avibase)
dendrocolaptes certhia,amabaw1,Name change (per Avibase)
dendrocolaptes sanctithomae,nobwoo1,Name change (per Avibase)
xiphorhynchus chunchotambo,ocewoo1,Name change (per Avibase)
chamaeza meruloides,sucant1,Name change (per Avibase)
grallaria griseonucha,gynant1,Name change (per Avibase)
grallaria gravesi,chaant5,Name change (per Avibase)
hylopezus dives,thiant1,Name change (per Avibase)
hylopezus fulviventris,whlant2,Name change (per Avibase)
hylopezus berlepschi,amaant1,Name change (per Avibase)
grallaricula leymebambae,rubant7,Name change (per Avibase)
grallaricula nana,slcant2,Name change (per Avibase)
melanopareia torquata,colcre1,Name change (per Avibase)
melanopareia bitorquata,colcre1,Name change (per Avibase)
melanopareia maranonica,marcre1,Name change (per Avibase)
scytalopus vicinior,nartap2,Name change (per Avibase)
scytalopus robbinsi,ecutap1,Name change (per Avibase)
atrichornis rufescens,rusbir1,Name change (per Avibase)
atrichornis clamosus,nosbir1,Name change (per Avibase)
prionodura newtoniana,golbow1,Name change (per Avibase)
stipiturus ruficeps,rucemu1,Name change (per Avibase)
stipiturus malachurus,souemu1,Name change (per Avibase)
stipiturus mallee,malemu1,Name change (per Avibase)
amytornis barbatus,grygra1,Name change (per Avibase)
myzomela blasii,sermyz1,Name change (per Avibase)
myzomela obscura,dusmyz1,Name change (per Avibase)
myzomela simplex,dusmyz1,Name change (per Avibase)
myzomela rubrotincta,dusmyz1,Name change (per Avibase)
myzomela rubrobrunnea,dusmyz1,Name change (per Avibase)
myzomela cruentata,redmyz1,Name change (per Avibase)
myzomela erythrina,redmyz1,Name change (per Avibase)
myzomela adolphinae,moumyz1,Name change (per Avibase)
myzomela kuehni,crhmyz1,Name change (per Avibase)
myzomela lafargei,scnmyz1,Name change (per Avibase)
myzomela eichhorni,yevmyz1,Name change (per Avibase)
myzomela malaitae,rebmyz1,Name change (per Avibase)
myzomela jugularis,orbmyz1,Name change (per Avibase)
myzomela rosenbergii,recmyz1,Name change (per Avibase)
myzomela longirostris,recmyz1,Name change (per Avibase)
sugomel niger,blahon1,Name change (per Avibase)
lichmera lombokia,sunhon1,Name change (per Avibase)
lichmera incana,dabhon1,Name change (per Avibase)
lichmera squamata,whthon2,Name change (per Avibase)
lichmera flavicans,yeehon1,Name change (per Avibase)
lichmera notabilis,blchon1,Name change (per Avibase)
foulehaio carunculatus,easwah1,Name change (per Avibase)
foulehaio taviunensis,norwah1,Name change (per Avibase)
foulehaio procerior,weswah1,Name change (per Avibase)
ptilotula keartlandi,gyhhon1,Name change (per Avibase)
ptilotula plumula,gyfhon1,Name change (per Avibase)
philemon kisserensis,gryfri1,Name change (per Avibase)
philemon fuscicapillus,dusfri1,Name change (per Avibase)
philemon moluccensis,bkffri1,Name change (per Avibase)
philemon buceroides,helfri1,Name change (per Avibase)
philemon novaeguineae,helfri1,Name change (per Avibase)
philemon yorki,helfri1,Name change (per Avibase)
philemon albitorques,whnfri1,Name change (per Avibase)
ptiloprora meekiana,olshon1,Name change (per Avibase)
ptiloprora perstriata,blbhon1,Name change (per Avibase)
melionyx fuscus,soomel1,Name change (per Avibase)
vosea whitemanensis,bismel1,Name change (per Avibase)
melionyx nouhuysi,shbmel1,Name change (per Avibase)
melionyx princeps,lobmel1,Name change (per Avibase)
melipotes fumigatus,smohon1,Name change (per Avibase)
melipotes carolae,washon1,Name change (per Avibase)
gymnomyza viridis,chagih1,Name change (per Avibase)
gymnomyza brunneirostris,duegih1,Name change (per Avibase)
glycifohia undulata,barhon2,Name change (per Avibase)
glycifohia notabilis,nehhon1,Name change (per Avibase)
conopophila whitei,gryhon1,Name change (per Avibase)
anthornis melanocephala,chibel1,Name change (per Avibase)
ashbyia lovensis,descha1,Name change (per Avibase)
origma murina,rumwar1,Name change (per Avibase)
aethomyias nigrorufus,bimwar1,Name change (per Avibase)
origma robusta,momwar1,Name change (per Avibase)
aethomyias rufescens,vogscr1,Name change (per Avibase)
aethomyias perspicillatus,bufscr1,Name change (per Avibase)
aethomyias arfakianus,gygscr1,Name change (per Avibase)
aethomyias papuensis,papscr1,Name change (per Avibase)
aethomyias spilodera,pabscr1,Name change (per Avibase)
acanthiza murina,paptho1,Name change (per Avibase)
acanthiza cinerea,mouger1,Name change (per Avibase)
gerygone modesta,noiger1,Name change (per Avibase)
gerygone igata,gryger1,Name change (per Avibase)
gerygone albofrontata,chiger2,Name change (per Avibase)
amalocichla sclateriana,grgrob1,Name change (per Avibase)
amalocichla incerta,legrob1,Name change (per Avibase)
monachella muelleriana,torfly1,Name change (per Avibase)
microeca fascinans,jacwin1,Name change (per Avibase)
microeca flavigaster,lebfly3,Name change (per Avibase)
kempiella griseoceps,yelfly4,Name change (per Avibase)
kempiella flavovirescens,olifly3,Name change (per Avibase)
devioeca papuana,canfly2,Name change (per Avibase)
petroica bivittata,alprob1,Name change (per Avibase)
petroica polymorpha,pacrob1,Name change (per Avibase)
petroica traversi,charob1,Name change (per Avibase)
cryptomicroeca flaviventris,yebrob1,Name change (per Avibase)
quoyornis georgianus,whbrob1,Name change (per Avibase)
peneothello pulverulenta,manrob1,Name change (per Avibase)
gennaeodryas placens,olyrob1,Name change (per Avibase)
plesiodryas albonotata,bltrob1,Name change (per Avibase)
peneothello cyanus,bugrob1,Name change (per Avibase)
heteromyias albispecularis,gyhrob1,Name change (per Avibase)
heteromyias armiti,gyhrob1,Name change (per Avibase)
heteromyias cinereifrons,gyhrob2,Name change (per Avibase)
drymodes superciliaris,nosrob1,Name change (per Avibase)
drymodes beccarii,papscr2,Name change (per Avibase)
drymodes brunneopygia,sosrob1,Name change (per Avibase)
irena puella,asfblu1,Name change (per Avibase)
irena tweeddalii,asfblu1,Name change (per Avibase)
chloropsis cochinchinensis,blwlea1,Name change (per Avibase)
chloropsis moluccensis,blwlea1,Name change (per Avibase)
chloropsis hardwickii,orblea1,Name change (per Avibase)
chloropsis lazulina,orblea1,Name change (per Avibase)
garritornis isidorei,negbab1,Name change (per Avibase)
pomatostomus temporalis,gycbab1,Name change (per Avibase)
lanius tephronotus,gybshr1,Name change (per Avibase)
lanius minor,legshr2,Name change (per Avibase)
lanius excubitor,norshr1,Name change (per Avibase)
lanius meridionalis,ibgshr1,Name change (per Avibase)
lanius sphenocercus,chgshr1,Name change (per Avibase)
lanius giganteus,chgshr3,Name change (per Avibase)
lanius excubitoroides,gybfis1,Name change (per Avibase)
lanius newtoni,newfis1,Name change (per Avibase)
corvinella corvina,yebshr1,Name change (per Avibase)
urolestes melanoleucus,magshr1,Name change (per Avibase)
eurocephalus ruppelli,whrshr1,Name change (per Avibase)
eurocephalus anguitimens,whcshr1,Name change (per Avibase)
vireo approximans,manvir1,Name change (per Avibase)
vireo vicinior,gryvir,Name change (per Avibase)
hylophilus amaurocephalus,gyegre1,Name change (per Avibase)
hylophilus semicinereus,gycgre1,Name change (per Avibase)
psophodes nigrogularis,weswhi1,Name change (per Avibase)
psophodes leucogaster,weswhi1,Name change (per Avibase)
ptilorrhoa geislerorum,blujeb2,Name change (per Avibase)
eupetes macrocerus,marbab1,Name change (per Avibase)
ifrita kowaldi,bucifr1,Name change (per Avibase)
coracornis sanghirensis,sansht1,Name change (per Avibase)
pachycephala sulfuriventer,subwhi1,Name change (per Avibase)
pachycephala simplex,grywhi2,Name change (per Avibase)
pachycephala pectoralis,golwhi1,Name change (per Avibase)
pachycephala melanura,bltwhi1,Name change (per Avibase)
pachycephala chlorura,necwhi2,Name change (per Avibase)
pachycephala implicata,guhwhi1,Name change (per Avibase)
pachycephala richardsi,bohwhi1,Name change (per Avibase)
pachycephala griseonota,drawhi1,Name change (per Avibase)
pachycephala johni,drawhi1,Name change (per Avibase)
colluricincla harmonica,grysht1,Name change (per Avibase)
platylophus galericulatus,crejay1,Name change (per Avibase)
platysmurus leucopterus,blamag1,Name change (per Avibase)
platysmurus aterrimus,blamag1,Name change (per Avibase)
aphelocoma insularis,issjay,Name change (per Avibase)
aphelocoma californica,cowscj1,Name change (per Avibase)
aphelocoma woodhouseii,wooscj2,Name change (per Avibase)
aphelocoma coerulescens,flsjay,Name change (per Avibase)
cyanocorax yncas,grnjay,Name change (per Avibase)
cyanocorax luxuosus,grnjay,Name change (per Avibase)
urocissa ornata,ceymag1,Name change (per Avibase)
urocissa caerulea,formag1,Name change (per Avibase)
urocissa flavirostris,gobmag1,Name change (per Avibase)
urocissa erythroryncha,rbbmag,Name change (per Avibase)
cissa chinensis,gremag1,Name change (per Avibase)
cissa thalassina,shtmag1,Name change (per Avibase)
cissa jefferyi,borgrm1,Name change (per Avibase)
cissa hypoleuca,yebmag1,Name change (per Avibase)
dendrocitta formosae,grytre1,Name change (per Avibase)
zavattariornis stresemanni,stbcro1,Name change (per Avibase)
podoces hendersoni,mogjay1,Name change (per Avibase)
podoces biddulphi,xigjay1,Name change (per Avibase)
podoces panderi,tugjay1,Name change (per Avibase)
podoces pleskei,irgjay1,Name change (per Avibase)
nucifraga caryocatactes,eurnut1,Name change (per Avibase)
pyrrhocorax graculus,yebcho1,Name change (per Avibase)
coloeus monedula,eurjac,Name change (per Avibase)
coloeus dauuricus,daujac1,Name change (per Avibase)
corvus samarensis,slbcro1,Name change (per Avibase)
corvus woodfordi,guacro1,Name change (per Avibase)
corvus tristis,grycro1,Name change (per Avibase)
corvus palmarum,palcro2,Name change (per Avibase)
corvus minutus,palcro2,Name change (per Avibase)
corvus macrorhynchos,labcro1,Name change (per Avibase)
corvus levaillantii,labcro1,Name change (per Avibase)
corvus culminatus,labcro1,Name change (per Avibase)
corvus torquatus,colcro1,Name change (per Avibase)
corvus corax,comrav,Name change (per Avibase)
megalampitta gigantea,gremel1,Name change (per Avibase)
lycocorax pyrrhopterus,parcro1,Name change (per Avibase)
lycocorax obiensis,parcro1,Name change (per Avibase)
semioptera wallacii,walsta2,Name change (per Avibase)
lophorina niedda,vosbop1,Name change (per Avibase)
parotia carolae,carpar1,Name change (per Avibase)
parotia lawesii,lawpar1,Name change (per Avibase)
parotia helenae,lawpar1,Name change (per Avibase)
diphyllodes magnificus,mbopar2,Name change (per Avibase)
diphyllodes respublica,wbopar1,Name change (per Avibase)
astrapia stephaniae,prsast1,Name change (per Avibase)
pteridophora alberti,kospar1,Name change (per Avibase)
cracticus torquatus,grybut1,Name change (per Avibase)
melloria quoyi,blabut1,Name change (per Avibase)
strepera versicolor,grycur1,Name change (per Avibase)
artamus insignis,biswoo1,Name change (per Avibase)
oriolus melanotis,timori1,Name change (per Avibase)
oriolus finschi,timori1,Name change (per Avibase)
oriolus bouroensis,burori2,Name change (per Avibase)
oriolus forsteni,serori1,Name change (per Avibase)
oriolus phaeochromus,halori1,Name change (per Avibase)
oriolus brachyrynchus,wbhori1,Name change (per Avibase)
oriolus monacha,dahori1,Name change (per Avibase)
oriolus larvatus,abhori1,Name change (per Avibase)
oriolus percivali,bltori1,Name change (per Avibase)
edolisoma parvulum,halcus1,Name change (per Avibase)
celebesica abbotti,pygcus1,Name change (per Avibase)
edolisoma anale,neccus1,Name change (per Avibase)
ceblepyris pectoralis,whbcus2,Name change (per Avibase)
ceblepyris caesius,grycus1,Name change (per Avibase)
ceblepyris graueri,gracus1,Name change (per Avibase)
ceblepyris cinereus,ashcus2,Name change (per Avibase)
ceblepyris cucullatus,ashcus3,Name change (per Avibase)
edolisoma coerulescens,blacus1,Name change (per Avibase)
edolisoma admiralitatis,mancic1,Name change (per Avibase)
edolisoma monacha,cicada1,Name change (per Avibase)
edolisoma insperatum,cicada1,Name change (per Avibase)
edolisoma nesiotis,cicada1,Name change (per Avibase)
edolisoma mindanense,bkbcus1,Name change (per Avibase)
edolisoma incertum,papcus1,Name change (per Avibase)
edolisoma schisticeps,gyhcus1,Name change (per Avibase)
edolisoma montanum,bkbcus2,Name change (per Avibase)
edolisoma ostentum,whwcus1,Name change (per Avibase)
lalage atrovirens,blbtri1,Name change (per Avibase)
lalage leucoptera,blbtri1,Name change (per Avibase)
lobotos lobatus,ghacus1,Name change (per Avibase)
lobotos oriolinus,oricus1,Name change (per Avibase)
pericrocotus cantonensis,brrmin1,Name change (per Avibase)
pericrocotus lansbergei,flomin1,Name change (per Avibase)
pericrocotus solaris,gycmin1,Name change (per Avibase)
chelidorhynx hypoxanthus,yebfan1,Name change (per Avibase)
rhipidura superciliaris,blufan1,Name change (per Avibase)
rhipidura samarensis,visblf1,Name change (per Avibase)
rhipidura albogularis,spbfan1,Name change (per Avibase)
rhipidura javanica,piefan1,Name change (per Avibase)
rhipidura nigritorquis,phipif1,Name change (per Avibase)
rhipidura leucophrys,wilwag1,Name change (per Avibase)
rhipidura kordensis,norfan1,Name change (per Avibase)
rhipidura threnothorax,sotfan1,Name change (per Avibase)
rhipidura maculipectus,bltfan1,Name change (per Avibase)
rhipidura leucothorax,wbtfan1,Name change (per Avibase)
rhipidura albiscapa,gryfan1,Name change (per Avibase)
rhipidura tenebrosa,dusfan1,Name change (per Avibase)
dicrurus fuscipennis,comdro1,Name change (per Avibase)
dicrurus sumatranus,sumdro1,Name change (per Avibase)
dicrurus megarhynchus,ritdro1,Name change (per Avibase)
erythrocercus mccallii,chcfly1,Name change (per Avibase)
erythrocercus holochlorus,yelfly2,Name change (per Avibase)
erythrocercus livingstonei,livfly1,Name change (per Avibase)
elminia nigromitrata,ducfly1,Name change (per Avibase)
elminia albiventris,wbcfly1,Name change (per Avibase)
elminia albonotata,wtcfly1,Name change (per Avibase)
trochocercus nitens,bhcfly1,Name change (per Avibase)
trochocercus cyanomelas,afcfly1,Name change (per Avibase)
terpsiphone smithii,bhpfly1,Name change (per Avibase)
terpsiphone bedfordi,bepfly1,Name change (per Avibase)
terpsiphone rufocinerea,rvpfly1,Name change (per Avibase)
terpsiphone batesi,batpaf1,Name change (per Avibase)
terpsiphone viridis,afpfly1,Name change (per Avibase)
terpsiphone atrochalybeia,stpfly1,Name change (per Avibase)
terpsiphone mutata,mapfly1,Name change (per Avibase)
terpsiphone corvina,sepfly1,Name change (per Avibase)
terpsiphone bourbonnensis,mapfly2,Name change (per Avibase)
terpsiphone paradisi,aspfly1,Name change (per Avibase)
terpsiphone affinis,blypaf1,Name change (per Avibase)
terpsiphone floris,blypaf1,Name change (per Avibase)
terpsiphone incei,amupaf1,Name change (per Avibase)
terpsiphone atrocaudata,japfly1,Name change (per Avibase)
terpsiphone cinnamomea,rupfly1,Name change (per Avibase)
terpsiphone cyanescens,blpfly1,Name change (per Avibase)
pomarea maupitiensis,maumon1,Name change (per Avibase)
pomarea mendozae,marmon2,Name change (per Avibase)
pomarea whitneyi,fatmon1,Name change (per Avibase)
mayrornis versicolor,ogemon1,Name change (per Avibase)
metabolus rugensis,trumon1,Name change (per Avibase)
symposiachrus axillaris,blamon1,Name change (per Avibase)
monarcha rubiensis,rufmon1,Name change (per Avibase)
carterornis castus,loemon1,Name change (per Avibase)
symposiachrus menckei,whbmon1,Name change (per Avibase)
symposiachrus barbatus,bawmon1,Name change (per Avibase)
myiagra atra,biafly1,Name change (per Avibase)
myiagra cervinicauda,ochfly1,Name change (per Avibase)
myiagra hebetior,dulfly1,Name change (per Avibase)
myiagra eichhorni,dulfly1,Name change (per Avibase)
myiagra cervinicolor,dulfly1,Name change (per Avibase)
aegithina nigrolutea,whtior1,Name change (per Avibase)
laniarius nigerrimus,sombou1,Name change (per Avibase)
laniarius sublacteus,zanbou1,Name change (per Avibase)
laniarius bicolor,gabbou1,Name change (per Avibase)
laniarius atrococcineus,crbgon1,Name change (per Avibase)
laniarius poensis,mosbou1,Name change (per Avibase)
laniarius holomelas,mosbou4,Name change (per Avibase)
telophorus cruentus,ropbus1,Name change (per Avibase)
chlorophoneus bocagei,gygbus1,Name change (per Avibase)
chlorophoneus sulfureopectus,subbus1,Name change (per Avibase)
chlorophoneus olivaceus,olibus1,Name change (per Avibase)
chlorophoneus multicolor,macbus2,Name change (per Avibase)
chlorophoneus nigrifrons,blfbus1,Name change (per Avibase)
chlorophoneus kupeensis,mtkbus1,Name change (per Avibase)
telophorus viridis,focbus2,Name change (per Avibase)
malaconotus blanchoti,gyhbus1,Name change (per Avibase)
batis margaritae,boubat1,Name change (per Avibase)
batis mixta,shtbat1,Name change (per Avibase)
batis reichenowi,shtbat1,Name change (per Avibase)
batis fratrum,woobat1,Name change (per Avibase)
batis orientalis,gyhbat1,Name change (per Avibase)
batis minima,verbat1,Name change (per Avibase)
batis poensis,fepbat1,Name change (per Avibase)
batis minulla,angbat1,Name change (per Avibase)
prionops plumatus,whihel1,Name change (per Avibase)
prionops poliolophus,gychel1,Name change (per Avibase)
prionops gabela,anghel1,Name change (per Avibase)
hypositta corallirostris,nuthat2,Name change (per Avibase)
picathartes oreas,gynroc1,Name change (per Avibase)
ptiliogonys cinereus,grsfly1,Name change (per Avibase)
phainoptila melanoxantha,bayfly1,Name change (per Avibase)
hypocolius ampelinus,hypoco1,Name change (per Avibase)
stizorhina finschi,fifthr1,Name change (per Avibase)
stizorhina fraseri,rufthr1,Name change (per Avibase)
neocossyphus rufus,rtathr1,Name change (per Avibase)
neocossyphus poensis,wtathr1,Name change (per Avibase)
monticola imerina,litrot1,Name change (per Avibase)
monticola rupestris,carthr1,Name change (per Avibase)
monticola explorator,serthr1,Name change (per Avibase)
monticola brevipes,strthr1,Name change (per Avibase)
monticola angolensis,mirthr1,Name change (per Avibase)
monticola saxatilis,rtrthr1,Name change (per Avibase)
monticola rufocinereus,lirthr1,Name change (per Avibase)
monticola cinclorhyncha,bcrthr1,Name change (per Avibase)
monticola gularis,wtrthr1,Name change (per Avibase)
monticola rufiventris,cbrthr1,Name change (per Avibase)
monticola solitarius,burthr,Name change (per Avibase)
myophonus blighi,ceywht1,Name change (per Avibase)
myophonus melanurus,shwthr1,Name change (per Avibase)
myophonus glaucinus,javwht1,Name change (per Avibase)
myophonus borneensis,borwht1,Name change (per Avibase)
myophonus castaneus,chwwht1,Name change (per Avibase)
myophonus robinsoni,mawthr2,Name change (per Avibase)
myophonus horsfieldii,mawthr1,Name change (per Avibase)
myophonus caeruleus,blwthr1,Name change (per Avibase)
myophonus insularis,fowthr1,Name change (per Avibase)
geokichla erythronota,rubthr2,Name change (per Avibase)
geokichla peronii,orbthr1,Name change (per Avibase)
geokichla piaggiae,abgthr1,Name change (per Avibase)
geokichla crossleyi,crgthr1,Name change (per Avibase)
geokichla gurneyi,orgthr1,Name change (per Avibase)
geokichla oberlaenderi,obgthr1,Name change (per Avibase)
geokichla camaronensis,bkegrt1,Name change (per Avibase)
geokichla princei,grygrt1,Name change (per Avibase)
geokichla guttata,spgthr1,Name change (per Avibase)
catharus minimus,gycthr,Name change (per Avibase)
turdus tephronotus,abethr1,Name change (per Avibase)
turdus bewsheri,comthr1,Name change (per Avibase)
turdus hortulorum,gybthr1,Name change (per Avibase)
turdus boulboul,gywbla1,Name change (per Avibase)
turdus merula,eurbla,Name change (per Avibase)
turdus kessleri,whbthr2,Name change (per Avibase)
turdus feae,gysthr1,Name change (per Avibase)
turdus maranonicus,marthr2,Name change (per Avibase)
turdus assimilis,whtrob1,Name change (per Avibase)
turdus daguae,whtrob1,Name change (per Avibase)
turdus rufopalliatus,rubrob,Name change (per Avibase)
turdus rufitorques,rucrob1,Name change (per Avibase)
chlamydochaera jefferyi,fruith1,Name change (per Avibase)
sholicola major,whbsho1,Name change (per Avibase)
sholicola albiventris,whbsho3,Name change (per Avibase)
chamaetylas choloensis,choale1,Name change (per Avibase)
empidornis semipartitus,silver1,Name change (per Avibase)
melaenornis pallidus,palfly2,Name change (per Avibase)
melaenornis infuscatus,chafly2,Name change (per Avibase)
melaenornis mariquensis,marfly1,Name change (per Avibase)
melaenornis microrhynchus,afgfly1,Name change (per Avibase)
melaenornis chocolatinus,abyslf1,Name change (per Avibase)
melaenornis fischeri,wheslf1,Name change (per Avibase)
melaenornis brunneus,angslf1,Name change (per Avibase)
melaenornis edolioides,nobfly1,Name change (per Avibase)
melaenornis pammelaina,sobfly1,Name change (per Avibase)
melaenornis ardesiacus,yebfly2,Name change (per Avibase)
fraseria ocreata,afffly1,Name change (per Avibase)
fraseria cinerascens,wbffly1,Name change (per Avibase)
cyornis oscillans,flojuf2,Name change (per Avibase)
cyornis stresemanni,flojuf1,Name change (per Avibase)
cyornis umbratilis,gycjuf1,Name change (per Avibase)
cyornis ruficauda,chtjuf1,Name change (per Avibase)
cyornis ocularis,chtjuf1,Name change (per Avibase)
cyornis ruficrissa,chtjuf1,Name change (per Avibase)
