xenocanto_11_2,ebird2022_species,comment
chrysolophus pictus,golphe,Exact match
chrysolophus amherstiae,laaphe1,Exact match
phasianus versicolor,rinphe2,Exact match
catreus wallichii,chephe1,Exact match
lophura edwardsi,edwphe1,Exact match
lophura swinhoii,swiphe1,Exact match
lophura bulweri,bulphe1,Exact match
lophura leucomelanos,kalphe,Exact match
lophura nycthemera,silphe,Exact match
lophura diardi,siafir1,Exact match
lophura inornata,salphe1,Exact match
rheinardia ocellata,crearg1,Exact match
rheinardia nigrescens,crearg3,Exact match
argusianus argus,grearg1,Exact match
pavo cristatus,compea,Exact match
pavo muticus,grepea1,Exact match
haematortyx sanguiniceps,crhpar1,Exact match
galloperdix spadicea,redspu1,Exact match
galloperdix lunulata,paispu1,Exact match
galloperdix bicalcarata,ceyspu1,Exact match
polyplectron napoleonis,palpep1,Exact match
polyplectron schleiermacheri,bopphe1,Exact match
polyplectron malacense,mapphe1,Exact match
polyplectron germaini,gepphe1,Exact match
polyplectron katsumatae,grypep3,Exact match
polyplectron inopinatum,mopphe1,Exact match
polyplectron chalcurum,btpphe1,Exact match
gallus varius,grejun1,Exact match
gallus gallus,redjun,Exact match
gallus lafayettii,ceyjun1,Exact match
peliperdix lathami,forfra2,Exact match
ortygornis sephaena,crefra2,Exact match
ortygornis gularis,swafra1,Exact match
francolinus pintadeanus,chifra1,Exact match
francolinus francolinus,blkfra,Exact match
francolinus pictus,paifra1,Exact match
campocolinus coqui,coqfra2,Exact match
campocolinus albogularis,whtfra2,Exact match
campocolinus schlegelii,schfra2,Exact match
scleroptila streptophora,rinfra2,Exact match
scleroptila levaillantii,rewfra2,Exact match
scleroptila finschi,finfra2,Exact match
scleroptila gutturalis,orrfra2,Exact match
tetraogallus tibetanus,tibsno1,Exact match
tetraogallus altaicus,altsno1,Exact match
tetraogallus caucasicus,causno1,Exact match
tetraogallus caspius,cassno1,Exact match
tetraogallus himalayensis,himsno,Exact match
ammoperdix griseogularis,sespar1,Exact match
ammoperdix heyi,sanpar1,Exact match
synoicus ypsilophorus,broqua1,Exact match
synoicus monorthonyx,snmqua2,Exact match
synoicus adansonii,bluqua1,Exact match
margaroperdix madagarensis,madpar2,Exact match
coturnix coturnix,comqua1,Exact match
coturnix japonica,japqua,Exact match
coturnix delegorguei,harqua1,Exact match
coturnix coromandelica,raiqua1,Exact match
coturnix pectoralis,stuqua1,Exact match
coturnix novaezelandiae,nezqua1,Exact match
alectoris barbara,barpar2,Exact match
alectoris melanocephala,arapar1,Exact match
alectoris rufa,relpar1,Exact match
alectoris graeca,rocpar2,Exact match
alectoris philbyi,phipar1,Exact match
alectoris magna,przpar1,Exact match
ophrysia superciliosa,himqua1,Exact match
pternistis hartlaubi,harfra3,Exact match
pternistis camerunensis,camfra2,Exact match
pternistis nobilis,hanfra2,Exact match
pternistis erckelii,ercfra,Exact match
pternistis ochropectus,djifra1,Exact match
pternistis swierstrai,swifra2,Exact match
pternistis ahantensis,ahafra2,Exact match
pternistis jacksoni,jacfra2,Exact match
pternistis adspersus,rebfra1,Exact match
pternistis capensis,capfra2,Exact match
pternistis natalensis,natfra2,Exact match
pternistis hildebrandti,hilfra2,Exact match
pternistis bicalcaratus,dosfra2,Exact match
pternistis squamatus,scafra2,Exact match
pternistis icterorhynchus,heufra1,Exact match
pternistis clappertoni,clafra1,Exact match
pternistis harwoodi,harfra4,Exact match
pternistis swainsonii,swafra2,Exact match
pternistis leucoscepus,yenspu1,Exact match
pternistis afer,renfra1,Exact match
eurostopodus argus,sponig1,Exact match
eurostopodus mystacalis,whtnig3,Exact match
eurostopodus nigripennis,solnig1,Exact match
eurostopodus exul,necnig2,Exact match
eurostopodus papuensis,papnig1,Exact match
eurostopodus archboldi,arcnig1,Exact match
gactornis enarratus,colnig1,Exact match
chordeiles nacunda,nacnig1,Exact match
chordeiles pusillus,leanig1,Exact match
chordeiles rupestris,sacnig1,Exact match
chordeiles acutipennis,lesnig,Exact match
chordeiles minor,comnig,Exact match
chordeiles gundlachii,antnig,Exact match
lurocalis semitorquatus,shtnig1,Exact match
lurocalis rufiventris,rubnig1,Exact match
nyctiprogne leucopyga,batnig1,Exact match
nyctipolus nigrescens,blanig1,Exact match
nyctipolus hirundinaceus,pygnig1,Exact match
setopagis heterura,samnig1,Exact match
setopagis parvula,litnig1,Exact match
setopagis whitelyi,rornig1,Exact match
setopagis maculosa,caynig1,Exact match
eleothreptus anomalus,siwnig1,Exact match
eleothreptus candicans,whwnig1,Exact match
systellura longirostris,bawnig1,Exact match
systellura decussata,bawnig3,Exact match
uropsalis segmentata,swtnig1,Exact match
uropsalis lyra,lytnig1,Exact match
hydropsalis cayennensis,whtnig1,Exact match
hydropsalis maculicaudus,sptnig1,Exact match
hydropsalis climacocerca,latnig1,Exact match
hydropsalis torquata,sctnig2,Exact match
macropsalis forcipata,lotnig2,Exact match
nyctiphrynus rosenbergi,chopoo1,Exact match
nyctiphrynus mcleodii,earpoo1,Exact match
nyctiphrynus yucatanicus,yucpoo1,Exact match
nyctiphrynus ocellatus,ocepoo1,Exact match
phalaenoptilus nuttallii,compoo,Exact match
antrostomus carolinensis,chwwid,Exact match
antrostomus rufus,rufnig1,Exact match
antrostomus cubanensis,granig2,Exact match
antrostomus ekmani,granig3,Exact match
antrostomus salvini,tacnig1,Exact match
antrostomus badius,yucnig1,Exact match
antrostomus sericocaudatus,sitnig1,Exact match
antrostomus ridgwayi,bucnig,Exact match
antrostomus vociferus,easwpw1,Exact match
antrostomus arizonae,souwpw1,Exact match
antrostomus noctitherus,purnig1,Exact match
antrostomus saturatus,dusnig1,Exact match
veles binotatus,bronig1,Exact match
caprimulgus ruficollis,rennig1,Exact match
caprimulgus indicus,grynig2,Exact match
caprimulgus phalaena,palnig1,Exact match
caprimulgus fraenatus,somnig1,Exact match
caprimulgus rufigena,rucnig1,Exact match
caprimulgus aegyptius,egynig1,Exact match
caprimulgus mahrattensis,syknig1,Exact match
caprimulgus nubicus,nubnig1,Exact match
caprimulgus eximius,golnig1,Exact match
caprimulgus atripennis,jernig1,Exact match
caprimulgus macrurus,latnig2,Exact match
caprimulgus meesi,meenig1,Exact match
caprimulgus andamanicus,andnig1,Exact match
caprimulgus manillensis,phinig1,Exact match
caprimulgus celebensis,sulnig1,Exact match
caprimulgus poliocephalus,monnig1,Exact match
caprimulgus asiaticus,indnig1,Exact match
caprimulgus madagascariensis,madnig1,Exact match
caprimulgus natalensis,swanig1,Exact match
caprimulgus solala,necnig1,Exact match
caprimulgus inornatus,planig1,Exact match
caprimulgus stellatus,stsnig1,Exact match
caprimulgus affinis,savnig1,Exact match
caprimulgus tristigma,frenig1,Exact match
caprimulgus concretus,bonnig1,Exact match
caprimulgus pulchellus,salnig1,Exact match
caprimulgus batesi,batnig2,Exact match
caprimulgus climacurus,lotnig1,Exact match
caprimulgus clarus,sltnig1,Exact match
caprimulgus fossii,sqtnig1,Exact match
caprimulgus longipennis,stwnig1,Exact match
caprimulgus vexillarius,pewnig1,Exact match
steatornis caripensis,oilbir1,Exact match
nyctibius grandis,grepot1,Exact match
nyctibius aethereus,lotpot1,Exact match
nyctibius jamaicensis,norpot1,Exact match
nyctibius griseus,compot1,Exact match
nyctibius maculosus,andpot1,Exact match
nyctibius leucopterus,whwpot1,Exact match
podargus ocellatus,marfro1,Exact match
podargus papuensis,papfro1,Exact match
podargus strigoides,tawfro1,Exact match
rigidipenna inexpectata,soifro1,Exact match
batrachostomus auritus,larfro1,Exact match
batrachostomus harterti,dulfro1,Exact match
batrachostomus septimus,phifro1,Exact match
batrachostomus stellatus,goufro1,Exact match
batrachostomus moniliger,ceyfro1,Exact match
