birdnet,ebird2021,comment
Calidris minutilla,leasan,
Calidris pugnax,ruff,
Calidris pusilla,semsan,
Calidris subruficollis,bubsan,
Calidris temminckii,temsti,
Caligavis chrysops,yefhon1,
Calliope calliope,sibrub,
Callipepla californica,calqua,
Callipepla gambelii,gamqua,
Callipepla squamata,scaqua,
Calocitta colliei,btmjay,
Calocitta formosa,wtmjay1,
Calonectris diomedea,corshe,
Calypte anna,annhum,
Calypte costae,coshum,
Calyptorhynchus banksii,rtbcoc1,
Calyptorhynchus funereus,ytbcoc1,
Camaroptera brachyura,grbcam1,
Campephilus guatemalensis,pabwoo1,
Campephilus melanoleucos,crcwoo1,
Campephilus pollens,powwoo1,
Campephilus rubricollis,renwoo1,
Camptostoma imberbe,nobtyr,
Camptostoma obsoletum,sobtyr1,
Campylopterus hemileucurus,viosab1,
Campylorhamphus trochilirostris,rebscy1,
Campylorhynchus brunneicapillus,cacwre,
Campylorhynchus fasciatus,faswre1,
Campylorhynchus griseus,bicwre1,
Campylorhynchus rufinucha,runwre1,
Campylorhynchus turdinus,thlwre1,
Campylorhynchus zonatus,babwre1,
Cantorchilus elutus,istwre1,
Cantorchilus leucotis,bubwre1,
Cantorchilus longirostris,lobwre1,
Cantorchilus modestus,plawre1,
Cantorchilus nigricapillus,baywre1,
Cantorchilus semibadius,rivwre1,
Cantorchilus thoracicus,stbwre1,
Capito auratus,gilbar1,
Caprimulgus affinis,savnig1,
Caprimulgus asiaticus,indnig1,
Caprimulgus atripennis,jernig1,
Caprimulgus europaeus,eurnig1,
Caprimulgus macrurus,latnig2,
Caprimulgus ruficollis,rennig1,
Capsiempis flaveola,yeltyr1,
Caracara plancus,crecar1,
Cardellina canadensis,canwar,
Cardellina pusilla,wlswar,
Cardellina rubra,redwar1,
Cardellina rubrifrons,refwar,
Cardinalis cardinalis,norcar,
Cardinalis sinuatus,pyrrhu,
Carduelis carduelis,eurgol,
Carduelis citrinella,citfin1,
Cariama cristata,relser1,
Carpodacus erythrinus,comros,
Caryothraustes poliogaster,blfgro1,
Cassiculus melanicterus,yewcac1,
Catharus aurantiirostris,obnthr1,
Catharus bicknelli,bicthr,
Catharus frantzii,rcnthr1,
Catharus fuscater,sbnthr1,
Catharus fuscescens,veery,
Catharus gracilirostris,bbnthr1,
Catharus guttatus,herthr,
Catharus mexicanus,bhnthr1,
Catharus minimus,gycthr,
Catharus ustulatus,swathr,
Catherpes mexicanus,canwre,
