ioc_12_2,clements
perdicula erythrorhyncha,perdicula erythrorhyncha
perdicula manipurensis,perdicula manipurensis
ophrysia superciliosa,ophrysia superciliosa
pternistis hartlaubi,pternistis hartlaubi
pternistis camerunensis,pternistis camerunensis
pternistis nobilis,pternistis nobilis
pternistis castaneicollis,pternistis castaneicollis
pternistis atrifrons,pternistis atrifrons
pternistis erckelii,pternistis erckelii
pternistis ochropectus,pternistis ochropectus
pternistis swierstrai,pternistis swierstrai
pternistis ahantensis,pternistis ahantensis
pternistis griseostriatus,pternistis griseostriatus
pternistis jacksoni,pternistis jacksoni
pternistis adspersus,pternistis adspersus
pternistis capensis,pternistis capensis
pternistis natalensis,pternistis natalensis
pternistis hildebrandti,pternistis hildebrandti
pternistis bicalcaratus,pternistis bicalcaratus
pternistis squamatus,pternistis squamatus
pternistis icterorhynchus,pternistis icterorhynchus
pternistis clappertoni,pternistis clappertoni
pternistis harwoodi,pternistis harwoodi
pternistis swainsonii,pternistis swainsonii
pternistis leucoscepus,pternistis leucoscepus
pternistis rufopictus,pternistis rufopictus
pternistis afer,pternistis afer
eurostopodus argus,eurostopodus argus
eurostopodus mystacalis,eurostopodus mystacalis
eurostopodus nigripennis,eurostopodus nigripennis
eurostopodus exul,eurostopodus exul
eurostopodus diabolicus,eurostopodus diabolicus
eurostopodus papuensis,eurostopodus papuensis
eurostopodus archboldi,eurostopodus archboldi
lyncornis temminckii,lyncornis temminckii
lyncornis macrotis,lyncornis macrotis
gactornis enarratus,gactornis enarratus
chordeiles nacunda,chordeiles nacunda
chordeiles pusillus,chordeiles pusillus
chordeiles rupestris,chordeiles rupestris
chordeiles acutipennis,chordeiles acutipennis
chordeiles minor,chordeiles minor
chordeiles gundlachii,chordeiles gundlachii
lurocalis semitorquatus,lurocalis semitorquatus
lurocalis rufiventris,lurocalis rufiventris
nyctiprogne leucopyga,nyctiprogne leucopyga
nyctiprogne vielliardi,nyctiprogne vielliardi
nyctipolus nigrescens,nyctipolus nigrescens
nyctipolus hirundinaceus,nyctipolus hirundinaceus
nyctidromus albicollis,nyctidromus albicollis
nyctidromus anthonyi,nyctidromus anthonyi
setopagis heterura,setopagis heterura
setopagis parvula,setopagis parvula
setopagis whitelyi,setopagis whitelyi
setopagis maculosa,setopagis maculosa
eleothreptus anomalus,eleothreptus anomalus
eleothreptus candicans,eleothreptus candicans
systellura longirostris,systellura longirostris
systellura decussata,systellura decussata
uropsalis segmentata,uropsalis segmentata
uropsalis lyra,uropsalis lyra
hydropsalis cayennensis,hydropsalis cayennensis
hydropsalis maculicaudus,hydropsalis maculicaudus
hydropsalis climacocerca,hydropsalis climacocerca
hydropsalis torquata,hydropsalis torquata
macropsalis forcipata,macropsalis forcipata
siphonorhis brewsteri,siphonorhis brewsteri
siphonorhis americana,siphonorhis americana
nyctiphrynus rosenbergi,nyctiphrynus rosenbergi
nyctiphrynus mcleodii,nyctiphrynus mcleodii
nyctiphrynus yucatanicus,nyctiphrynus yucatanicus
nyctiphrynus ocellatus,nyctiphrynus ocellatus
phalaenoptilus nuttallii,phalaenoptilus nuttallii
antrostomus carolinensis,antrostomus carolinensis
antrostomus rufus,antrostomus rufus
antrostomus cubanensis,antrostomus cubanensis
antrostomus ekmani,unknown
antrostomus salvini,antrostomus salvini
antrostomus badius,antrostomus badius
antrostomus sericocaudatus,antrostomus sericocaudatus
antrostomus ridgwayi,antrostomus ridgwayi
antrostomus vociferus,antrostomus vociferus
antrostomus arizonae,antrostomus arizonae
antrostomus noctitherus,antrostomus noctitherus
antrostomus saturatus,antrostomus saturatus
veles binotatus,caprimulgus binotatus
caprimulgus ruficollis,caprimulgus ruficollis
caprimulgus indicus,caprimulgus indicus
caprimulgus jotaka,caprimulgus jotaka
caprimulgus phalaena,caprimulgus phalaena
caprimulgus europaeus,caprimulgus europaeus
caprimulgus fraenatus,caprimulgus fraenatus
caprimulgus rufigena,caprimulgus rufigena
caprimulgus aegyptius,caprimulgus aegyptius
caprimulgus mahrattensis,caprimulgus mahrattensis
caprimulgus nubicus,caprimulgus nubicus
caprimulgus eximius,caprimulgus eximius
caprimulgus atripennis,caprimulgus atripennis
caprimulgus macrurus,caprimulgus macrurus
caprimulgus meesi,caprimulgus meesi
caprimulgus andamanicus,caprimulgus andamanicus
caprimulgus manillensis,caprimulgus manillensis
caprimulgus celebensis,caprimulgus celebensis
caprimulgus donaldsoni,caprimulgus donaldsoni
caprimulgus nigriscapularis,caprimulgus nigriscapularis
caprimulgus pectoralis,caprimulgus pectoralis
caprimulgus poliocephalus,caprimulgus poliocephalus
,caprimulgus ruwenzorii
caprimulgus asiaticus,caprimulgus asiaticus
caprimulgus madagascariensis,caprimulgus madagascariensis
caprimulgus natalensis,caprimulgus natalensis
caprimulgus solala,caprimulgus solala
caprimulgus inornatus,caprimulgus inornatus
caprimulgus stellatus,caprimulgus stellatus
caprimulgus affinis,caprimulgus affinis
caprimulgus tristigma,caprimulgus tristigma
caprimulgus concretus,caprimulgus concretus
caprimulgus pulchellus,caprimulgus pulchellus
caprimulgus prigoginei,caprimulgus prigoginei
caprimulgus batesi,caprimulgus batesi
caprimulgus climacurus,caprimulgus climacurus
caprimulgus clarus,caprimulgus clarus
caprimulgus fossii,caprimulgus fossii
caprimulgus longipennis,caprimulgus longipennis
caprimulgus vexillarius,caprimulgus vexillarius
steatornis caripensis,steatornis caripensis
phyllaemulor bracteatus,nyctibius bracteatus
nyctibius grandis,nyctibius grandis
nyctibius aethereus,nyctibius aethereus
nyctibius jamaicensis,nyctibius jamaicensis
nyctibius griseus,nyctibius griseus
nyctibius maculosus,nyctibius maculosus
nyctibius leucopterus,nyctibius leucopterus
podargus ocellatus,podargus ocellatus
podargus papuensis,podargus papuensis
podargus strigoides,podargus strigoides
rigidipenna inexpectata,rigidipenna inexpectata
batrachostomus auritus,batrachostomus auritus
batrachostomus harterti,batrachostomus harterti
batrachostomus septimus,batrachostomus septimus
batrachostomus stellatus,batrachostomus stellatus
batrachostomus moniliger,batrachostomus moniliger
batrachostomus hodgsoni,batrachostomus hodgsoni
batrachostomus poliolophus,batrachostomus poliolophus
batrachostomus mixtus,batrachostomus mixtus
batrachostomus javensis,batrachostomus javensis
batrachostomus affinis,batrachostomus affinis
batrachostomus chaseni,batrachostomus chaseni
batrachostomus cornutus,batrachostomus cornutus
aegotheles insignis,aegotheles insignis
aegotheles tatei,aegotheles tatei
aegotheles crinifrons,aegotheles crinifrons
aegotheles wallacii,aegotheles wallacii
aegotheles albertisi,aegotheles albertisi
,aegotheles archboldi
aegotheles savesi,aegotheles savesi
aegotheles bennettii,aegotheles bennettii
aegotheles affinis,aegotheles affinis
aegotheles cristatus,aegotheles cristatus
hemiprocne coronata,hemiprocne coronata
hemiprocne longipennis,hemiprocne longipennis
hemiprocne comata,hemiprocne comata
hemiprocne mystacea,hemiprocne mystacea
cypseloides cherriei,cypseloides cherriei
cypseloides cryptus,cypseloides cryptus
cypseloides storeri,cypseloides storeri
cypseloides fumigatus,cypseloides fumigatus
cypseloides rothschildi,cypseloides rothschildi
cypseloides niger,cypseloides niger
cypseloides lemosi,cypseloides lemosi
cypseloides senex,cypseloides senex
streptoprocne phelpsi,streptoprocne phelpsi
streptoprocne rutila,streptoprocne rutila
streptoprocne zonaris,streptoprocne zonaris
streptoprocne biscutata,streptoprocne biscutata
streptoprocne semicollaris,streptoprocne semicollaris
hydrochous gigas,hydrochous gigas
collocalia affinis,collocalia affinis
collocalia marginata,collocalia marginata
collocalia isonota,collocalia isonota
collocalia sumbawae,collocalia sumbawae
collocalia neglecta,collocalia neglecta
collocalia esculenta,collocalia esculenta
collocalia uropygialis,collocalia uropygialis
collocalia dodgei,collocalia dodgei
collocalia linchi,collocalia linchi
collocalia natalis,collocalia natalis
collocalia troglodytes,collocalia troglodytes
aerodramus elaphrus,aerodramus elaphrus
aerodramus francicus,aerodramus francicus
aerodramus unicolor,aerodramus unicolor
aerodramus mearnsi,aerodramus mearnsi
aerodramus infuscatus,aerodramus infuscatus
aerodramus sororum,aerodramus sororum
aerodramus ceramensis,aerodramus ceramensis
aerodramus hirundinaceus,aerodramus hirundinaceus
aerodramus spodiopygius,aerodramus spodiopygius
aerodramus terraereginae,aerodramus terraereginae
aerodramus brevirostris,aerodramus brevirostris
aerodramus vulcanorum,aerodramus vulcanorum
aerodramus whiteheadi,aerodramus whiteheadi
aerodramus nuditarsus,aerodramus nuditarsus
aerodramus orientalis,aerodramus orientalis
aerodramus salangana,aerodramus salangana
aerodramus vanikorensis,aerodramus vanikorensis
aerodramus amelis,aerodramus amelis
aerodramus pelewensis,aerodramus pelewensis
aerodramus bartschi,aerodramus bartschi
aerodramus inquietus,aerodramus inquietus
aerodramus leucophaeus,aerodramus leucophaeus
aerodramus sawtelli,aerodramus sawtelli
