ioc_12_2,clements
actinodura ramsayi,actinodura ramsayi
actinodura sodangorum,actinodura sodangorum
leiothrix lutea,leiothrix lutea
leiothrix argentauris,leiothrix argentauris
minla ignotincta,minla ignotincta
leioptila annectens,leioptila annectens
liocichla bugunorum,liocichla bugunorum
liocichla omeiensis,liocichla omeiensis
liocichla steerii,liocichla steerii
liocichla phoenicea,liocichla phoenicea
liocichla ripponi,liocichla ripponi
argya malcolmi,argya malcolmi
argya cinereifrons,argya cinereifrons
argya longirostris,argya longirostris
argya subrufa,argya subrufa
argya rufescens,argya rufescens
argya striata,argya striata
argya affinis,argya affinis
argya rubiginosa,argya rubiginosa
argya aylmeri,argya aylmeri
argya altirostris,argya altirostris
argya huttoni,argya huttoni
argya caudata,argya caudata
argya fulva,argya fulva
argya squamiceps,argya squamiceps
argya earlei,argya earlei
argya gularis,argya gularis
turdoides nipalensis,turdoides nipalensis
turdoides atripennis,turdoides atripennis
turdoides gilberti,turdoides gilberti
turdoides chapini,turdoides chapini
turdoides rufocinctus,turdoides rufocinctus
turdoides plebejus,turdoides plebejus
turdoides leucopygia,turdoides leucopygia
turdoides hindei,turdoides hindei
turdoides squamulata,turdoides squamulata
turdoides jardineii,turdoides jardineii
turdoides gymnogenys,turdoides gymnogenys
turdoides leucocephala,turdoides leucocephala
turdoides reinwardtii,turdoides reinwardtii
turdoides tenebrosa,turdoides tenebrosa
turdoides bicolor,turdoides bicolor
turdoides hartlaubii,turdoides hartlaubii
turdoides sharpei,turdoides sharpei
turdoides melanops,turdoides melanops
turdoides hypoleuca,turdoides hypoleuca
garrulax merulinus,garrulax merulinus
garrulax annamensis,garrulax annamensis
garrulax canorus,garrulax canorus
garrulax taewanus,garrulax taewanus
garrulax monileger,garrulax monileger
garrulax rufifrons,garrulax rufifrons
garrulax palliatus,garrulax palliatus
garrulax leucolophus,garrulax leucolophus
garrulax bicolor,garrulax bicolor
garrulax milleti,garrulax milleti
garrulax strepitans,garrulax strepitans
garrulax ferrarius,garrulax ferrarius
garrulax maesi,garrulax maesi
garrulax castanotis,garrulax castanotis
ianthocincla sukatschewi,ianthocincla sukatschewi
ianthocincla rufogularis,ianthocincla rufogularis
ianthocincla konkakinhensis,ianthocincla konkakinhensis
ianthocincla cineracea,ianthocincla cineracea
ianthocincla ocellata,ianthocincla ocellata
ianthocincla maxima,ianthocincla maxima
ianthocincla bieti,ianthocincla bieti
ianthocincla lunulata,ianthocincla lunulata
pterorhinus delesserti,pterorhinus delesserti
pterorhinus gularis,pterorhinus gularis
pterorhinus vassali,pterorhinus vassali
pterorhinus galbanus,pterorhinus galbanus
pterorhinus courtoisi,pterorhinus courtoisi
pterorhinus mitratus,pterorhinus mitratus
pterorhinus treacheri,pterorhinus treacheri
pterorhinus ruficollis,pterorhinus ruficollis
pterorhinus nuchalis,pterorhinus nuchalis
pterorhinus chinensis,pterorhinus chinensis
pterorhinus sannio,pterorhinus sannio
pterorhinus perspicillatus,pterorhinus perspicillatus
pterorhinus pectoralis,pterorhinus pectoralis
pterorhinus davidi,pterorhinus davidi
pterorhinus woodi,pterorhinus woodi
pterorhinus lanceolatus,pterorhinus lanceolatus
pterorhinus waddelli,pterorhinus waddelli
pterorhinus koslowi,pterorhinus koslowi
pterorhinus albogularis,pterorhinus albogularis
pterorhinus ruficeps,pterorhinus ruficeps
pterorhinus caerulatus,pterorhinus caerulatus
pterorhinus berthemyi,pterorhinus berthemyi
pterorhinus poecilorhynchus,pterorhinus poecilorhynchus
modulatrix stictigula,modulatrix stictigula
arcanator orostruthus,arcanator orostruthus
kakamega poliothorax,kakamega poliothorax
promerops cafer,promerops cafer
promerops gurneyi,promerops gurneyi
irena puella,irena puella
irena tweeddalii,unknown
irena cyanogastra,irena cyanogastra
corthylio calendula,corthylio calendula
regulus ignicapilla,regulus ignicapilla
regulus madeirensis,regulus madeirensis
regulus satrapa,regulus satrapa
regulus goodfellowi,regulus goodfellowi
regulus regulus,regulus regulus
elachura formosa,elachura formosa
hyliota flavigaster,hyliota flavigaster
hyliota australis,hyliota australis
hyliota usambara,hyliota usambara
hyliota violacea,hyliota violacea
campylorhynchus albobrunneus,campylorhynchus albobrunneus
campylorhynchus zonatus,campylorhynchus zonatus
campylorhynchus megalopterus,campylorhynchus megalopterus
campylorhynchus nuchalis,campylorhynchus nuchalis
campylorhynchus fasciatus,campylorhynchus fasciatus
campylorhynchus chiapensis,campylorhynchus chiapensis
campylorhynchus griseus,campylorhynchus griseus
campylorhynchus rufinucha,campylorhynchus rufinucha
campylorhynchus humilis,unknown
campylorhynchus capistratus,unknown
campylorhynchus gularis,campylorhynchus gularis
campylorhynchus jocosus,campylorhynchus jocosus
campylorhynchus yucatanicus,campylorhynchus yucatanicus
campylorhynchus brunneicapillus,campylorhynchus brunneicapillus
campylorhynchus turdinus,campylorhynchus turdinus
odontorchilus branickii,odontorchilus branickii
odontorchilus cinereus,odontorchilus cinereus
salpinctes obsoletus,salpinctes obsoletus
catherpes mexicanus,catherpes mexicanus
hylorchilus sumichrasti,hylorchilus sumichrasti
hylorchilus navai,hylorchilus navai
cinnycerthia unirufa,cinnycerthia unirufa
cinnycerthia olivascens,cinnycerthia olivascens
cinnycerthia peruana,cinnycerthia peruana
cinnycerthia fulva,cinnycerthia fulva
cistothorus stellaris,cistothorus stellaris
cistothorus meridae,cistothorus meridae
cistothorus apolinari,cistothorus apolinari
cistothorus platensis,cistothorus platensis
cistothorus palustris,cistothorus palustris
thryomanes bewickii,thryomanes bewickii
ferminia cerverai,ferminia cerverai
pheugopedius atrogularis,pheugopedius atrogularis
pheugopedius spadix,pheugopedius spadix
pheugopedius fasciatoventris,pheugopedius fasciatoventris
pheugopedius euophrys,pheugopedius euophrys
pheugopedius eisenmanni,pheugopedius eisenmanni
pheugopedius genibarbis,pheugopedius genibarbis
pheugopedius mystacalis,pheugopedius mystacalis
pheugopedius coraya,pheugopedius coraya
pheugopedius felix,pheugopedius felix
pheugopedius maculipectus,pheugopedius maculipectus
pheugopedius rutilus,pheugopedius rutilus
pheugopedius sclateri,pheugopedius sclateri
thryophilus pleurostictus,thryophilus pleurostictus
thryophilus rufalbus,thryophilus rufalbus
thryophilus sernai,thryophilus sernai
thryophilus nicefori,thryophilus nicefori
thryophilus sinaloa,thryophilus sinaloa
cantorchilus modestus,cantorchilus modestus
cantorchilus zeledoni,cantorchilus zeledoni
cantorchilus elutus,cantorchilus elutus
cantorchilus leucotis,cantorchilus leucotis
cantorchilus superciliaris,cantorchilus superciliaris
cantorchilus guarayanus,cantorchilus guarayanus
cantorchilus longirostris,cantorchilus longirostris
cantorchilus griseus,cantorchilus griseus
cantorchilus semibadius,cantorchilus semibadius
cantorchilus nigricapillus,cantorchilus nigricapillus
cantorchilus thoracicus,cantorchilus thoracicus
cantorchilus leucopogon,cantorchilus leucopogon
thryothorus ludovicianus,thryothorus ludovicianus
troglodytes troglodytes,troglodytes troglodytes
troglodytes hiemalis,troglodytes hiemalis
troglodytes pacificus,troglodytes pacificus
troglodytes tanneri,troglodytes tanneri
troglodytes aedon,troglodytes aedon
troglodytes cobbi,troglodytes cobbi
troglodytes sissonii,troglodytes sissonii
troglodytes rufociliatus,troglodytes rufociliatus
troglodytes ochraceus,troglodytes ochraceus
troglodytes solstitialis,troglodytes solstitialis
troglodytes monticola,troglodytes monticola
troglodytes rufulus,troglodytes rufulus
thryorchilus browni,thryorchilus browni
uropsila leucogastra,uropsila leucogastra
henicorhina leucosticta,henicorhina leucosticta
henicorhina leucophrys,henicorhina leucophrys
henicorhina anachoreta,henicorhina anachoreta
henicorhina leucoptera,henicorhina leucoptera
henicorhina negreti,henicorhina negreti
microcerculus philomela,microcerculus philomela
microcerculus marginatus,microcerculus marginatus
microcerculus ustulatus,microcerculus ustulatus
microcerculus bambla,microcerculus bambla
cyphorhinus thoracicus,cyphorhinus thoracicus
cyphorhinus arada,cyphorhinus arada
cyphorhinus phaeocephalus,cyphorhinus phaeocephalus
ramphocaenus sticturus,ramphocaenus sticturus
ramphocaenus melanurus,ramphocaenus melanurus
microbates cinereiventris,microbates cinereiventris
microbates collaris,microbates collaris
polioptila facilis,polioptila facilis
polioptila guianensis,polioptila guianensis
polioptila schistaceigula,polioptila schistaceigula
polioptila paraensis,polioptila paraensis
polioptila clementsi,polioptila clementsi
polioptila attenboroughi,polioptila attenboroughi
polioptila plumbea,polioptila plumbea
polioptila lactea,polioptila lactea
polioptila dumicola,polioptila dumicola
polioptila lembeyei,polioptila lembeyei
polioptila albiventris,polioptila albiventris
polioptila bilineata,polioptila bilineata
polioptila caerulea,polioptila caerulea
polioptila melanura,polioptila melanura
polioptila californica,polioptila californica
polioptila nigriceps,polioptila nigriceps
polioptila albiloris,polioptila albiloris
sitta leucopsis,sitta leucopsis
sitta przewalskii,sitta przewalskii
sitta magna,sitta magna
sitta carolinensis,sitta carolinensis
sitta formosa,sitta formosa
sitta azurea,sitta azurea
sitta frontalis,sitta frontalis
sitta solangiae,sitta solangiae
sitta oenochlamys,sitta oenochlamys
sitta pygmaea,sitta pygmaea
sitta pusilla,sitta pusilla
sitta insularis,sitta insularis
sitta yunnanensis,sitta yunnanensis
sitta ledanti,sitta ledanti
sitta krueperi,sitta krueperi
sitta canadensis,sitta canadensis
sitta whiteheadi,sitta whiteheadi
sitta villosa,sitta villosa
sitta neumayer,sitta neumayer
sitta tephronota,sitta tephronota
sitta arctica,unknown
sitta victoriae,sitta victoriae
sitta himalayensis,sitta himalayensis
sitta europaea,sitta europaea
sitta nagaensis,sitta nagaensis
sitta cashmirensis,sitta cashmirensis
sitta castanea,sitta castanea
sitta cinnamoventris,sitta cinnamoventris
sitta neglecta,sitta neglecta
tichodroma muraria,tichodroma muraria
certhia familiaris,certhia familiaris
certhia hodgsoni,certhia hodgsoni
certhia americana,certhia americana
certhia brachydactyla,certhia brachydactyla
certhia himalayana,certhia himalayana
certhia nipalensis,certhia nipalensis
certhia discolor,certhia discolor
certhia manipurensis,certhia manipurensis
certhia tianquanensis,certhia tianquanensis
salpornis spilonota,salpornis spilonota
salpornis salvadori,salpornis salvadori
dumetella carolinensis,dumetella carolinensis
melanoptila glabrirostris,melanoptila glabrirostris
mimus polyglottos,mimus polyglottos
mimus gilvus,mimus gilvus
mimus gundlachii,mimus gundlachii
mimus thenca,mimus thenca
mimus longicaudatus,mimus longicaudatus
mimus saturninus,mimus saturninus
mimus patagonicus,mimus patagonicus
mimus triurus,mimus triurus
mimus dorsalis,mimus dorsalis
mimus parvulus,mimus parvulus
mimus trifasciatus,mimus trifasciatus
mimus macdonaldi,mimus macdonaldi
mimus melanotis,mimus melanotis
mimus graysoni,mimus graysoni
oreoscoptes montanus,oreoscoptes montanus
toxostoma rufum,toxostoma rufum
toxostoma longirostre,toxostoma longirostre
toxostoma guttatum,toxostoma guttatum
toxostoma cinereum,toxostoma cinereum
toxostoma bendirei,toxostoma bendirei
toxostoma ocellatum,toxostoma ocellatum
toxostoma curvirostre,toxostoma curvirostre
toxostoma redivivum,toxostoma redivivum
toxostoma crissale,toxostoma crissale
toxostoma lecontei,toxostoma lecontei
ramphocinclus brachyurus,ramphocinclus brachyurus
melanotis caerulescens,melanotis caerulescens
melanotis hypoleucus,melanotis hypoleucus
allenia fusca,allenia fusca
margarops fuscatus,margarops fuscatus
cinclocerthia ruficauda,cinclocerthia ruficauda
cinclocerthia gutturalis,cinclocerthia gutturalis
aplonis metallica,aplonis metallica
aplonis circumscripta,unknown
aplonis mystacea,aplonis mystacea
aplonis cantoroides,aplonis cantoroides
aplonis crassa,aplonis crassa
aplonis feadensis,aplonis feadensis
aplonis insularis,aplonis insularis
aplonis magna,aplonis magna
aplonis brunneicapillus,aplonis brunneicapillus
aplonis grandis,aplonis grandis
aplonis dichroa,aplonis dichroa
aplonis zelandica,aplonis zelandica
aplonis striata,aplonis striata
aplonis fusca,aplonis fusca
,aplonis ulietensis
aplonis santovestris,aplonis santovestris
aplonis panayensis,aplonis panayensis
aplonis mysolensis,aplonis mysolensis
aplonis minor,aplonis minor
aplonis opaca,aplonis opaca
aplonis pelzelni,aplonis pelzelni
aplonis tabuensis,aplonis tabuensis
aplonis atrifusca,aplonis atrifusca
aplonis corvina,aplonis corvina
aplonis mavornata,aplonis mavornata
aplonis cinerascens,aplonis cinerascens
mino dumontii,mino dumontii
mino kreffti,mino kreffti
mino anais,mino anais
basilornis celebensis,basilornis celebensis
basilornis galeatus,basilornis galeatus
basilornis corythaix,basilornis corythaix
goodfellowia miranda,goodfellowia miranda
sarcops calvus,sarcops calvus
streptocitta albicollis,streptocitta albicollis
streptocitta albertinae,streptocitta albertinae
enodes erythrophris,enodes erythrophris
scissirostrum dubium,scissirostrum dubium
saroglossa spilopterus,saroglossa spilopterus
ampeliceps coronatus,ampeliceps coronatus
gracula ptilogenys,gracula ptilogenys
gracula religiosa,gracula religiosa
gracula indica,gracula indica
gracula robusta,gracula robusta
gracula enganensis,gracula enganensis
acridotheres grandis,acridotheres grandis
acridotheres cristatellus,acridotheres cristatellus
acridotheres javanicus,acridotheres javanicus
acridotheres cinereus,acridotheres cinereus
acridotheres fuscus,acridotheres fuscus
acridotheres albocinctus,acridotheres albocinctus
acridotheres ginginianus,acridotheres ginginianus
acridotheres tristis,acridotheres tristis
acridotheres melanopterus,acridotheres melanopterus
acridotheres burmannicus,acridotheres burmannicus
spodiopsar sericeus,spodiopsar sericeus
spodiopsar cineraceus,spodiopsar cineraceus
gracupica nigricollis,gracupica nigricollis
gracupica contra,gracupica contra
gracupica floweri,unknown
gracupica jalla,unknown
agropsar sturninus,agropsar sturninus
agropsar philippensis,agropsar philippensis
sturnia sinensis,sturnia sinensis
sturnia malabarica,sturnia malabarica
sturnia erythropygia,sturnia erythropygia
sturnia blythii,sturnia blythii
sturnia pagodarum,sturnia pagodarum
sturnornis albofrontatus,sturnornis albofrontatus
leucopsar rothschildi,leucopsar rothschildi
fregilupus varius,fregilupus varius
necropsar rodericanus,necropsar rodericanus
pastor roseus,pastor roseus
sturnus vulgaris,sturnus vulgaris
sturnus unicolor,sturnus unicolor
creatophora cinerea,creatophora cinerea
notopholia corusca,notopholia corusca
hylopsar purpureiceps,hylopsar purpureiceps
hylopsar cupreocauda,hylopsar cupreocauda
lamprotornis nitens,lamprotornis nitens
lamprotornis chalybaeus,lamprotornis chalybaeus
lamprotornis chloropterus,lamprotornis chloropterus
lamprotornis elisabeth,unknown
lamprotornis chalcurus,lamprotornis chalcurus
lamprotornis splendidus,lamprotornis splendidus
lamprotornis ornatus,lamprotornis ornatus
lamprotornis iris,lamprotornis iris
lamprotornis purpureus,lamprotornis purpureus
lamprotornis purpuroptera,lamprotornis purpuroptera
lamprotornis caudatus,lamprotornis caudatus
lamprotornis regius,lamprotornis regius
lamprotornis mevesii,lamprotornis mevesii
lamprotornis australis,lamprotornis australis
lamprotornis acuticaudus,lamprotornis acuticaudus
lamprotornis superbus,lamprotornis superbus
lamprotornis hildebrandti,lamprotornis hildebrandti
lamprotornis shelleyi,lamprotornis shelleyi
lamprotornis pulcher,lamprotornis pulcher
lamprotornis unicolor,lamprotornis unicolor
lamprotornis fischeri,lamprotornis fischeri
lamprotornis bicolor,lamprotornis bicolor
lamprotornis albicapillus,lamprotornis albicapillus
hartlaubius auratus,hartlaubius auratus
cinnyricinclus leucogaster,cinnyricinclus leucogaster
onychognathus morio,onychognathus morio
onychognathus tenuirostris,onychognathus tenuirostris
onychognathus fulgidus,onychognathus fulgidus
onychognathus walleri,onychognathus walleri
onychognathus blythii,onychognathus blythii
onychognathus frater,onychognathus frater
onychognathus tristramii,onychognathus tristramii
onychognathus nabouroup,onychognathus nabouroup
onychognathus salvadorii,onychognathus salvadorii
onychognathus albirostris,onychognathus albirostris
onychognathus neumanni,onychognathus neumanni
poeoptera stuhlmanni,poeoptera stuhlmanni
poeoptera kenricki,poeoptera kenricki
poeoptera lugubris,poeoptera lugubris
poeoptera sharpii,pholia sharpii
poeoptera femoralis,poeoptera femoralis
grafisia torquata,grafisia torquata
speculipastor bicolor,speculipastor bicolor
neocichla gutturalis,neocichla gutturalis
rhabdornis mystacalis,rhabdornis mystacalis
rhabdornis inornatus,rhabdornis inornatus
rhabdornis rabori,rhabdornis rabori
rhabdornis grandis,rhabdornis grandis
buphagus africanus,buphagus africanus
buphagus erythrorynchus,buphagus erythrorynchus
grandala coelicolor,grandala coelicolor
sialia currucoides,sialia currucoides
sialia mexicana,sialia mexicana
sialia sialis,sialia sialis
stizorhina finschi,neocossyphus finschi
stizorhina fraseri,neocossyphus fraseri
neocossyphus poensis,neocossyphus poensis
neocossyphus rufus,neocossyphus rufus
pinarornis plumosus,pinarornis plumosus
myadestes occidentalis,myadestes occidentalis
myadestes unicolor,myadestes unicolor
myadestes townsendi,myadestes townsendi
myadestes myadestinus,myadestes myadestinus
,myadestes woahensis
myadestes palmeri,myadestes palmeri
myadestes lanaiensis,myadestes lanaiensis
myadestes obscurus,myadestes obscurus
myadestes elisabeth,myadestes elisabeth
myadestes genibarbis,myadestes genibarbis
myadestes melanops,myadestes melanops
myadestes coloratus,myadestes coloratus
myadestes ralloides,myadestes ralloides
chlamydochaera jefferyi,chlamydochaera jefferyi
cochoa purpurea,cochoa purpurea
cochoa viridis,cochoa viridis
cochoa beccarii,cochoa beccarii
cochoa azurea,cochoa azurea
ixoreus naevius,ixoreus naevius
ridgwayia pinicola,ridgwayia pinicola
cichlopsis leucogenys,cichlopsis leucogenys
entomodestes coracinus,entomodestes coracinus
entomodestes leucotis,entomodestes leucotis
hylocichla mustelina,hylocichla mustelina
catharus dryas,catharus dryas
catharus maculatus,catharus maculatus
catharus aurantiirostris,catharus aurantiirostris
catharus mexicanus,catharus mexicanus
catharus fuscater,catharus fuscater
catharus ustulatus,catharus ustulatus
catharus gracilirostris,catharus gracilirostris
catharus guttatus,catharus guttatus
catharus occidentalis,catharus occidentalis
catharus frantzii,catharus frantzii
catharus minimus,catharus minimus
catharus bicknelli,catharus bicknelli
catharus fuscescens,catharus fuscescens
zoothera dixoni,zoothera dixoni
zoothera mollissima,zoothera mollissima
zoothera salimalii,zoothera salimalii
zoothera griseiceps,zoothera griseiceps
zoothera monticola,zoothera monticola
zoothera heinrichi,zoothera heinrichi
zoothera marginata,zoothera marginata
zoothera everetti,zoothera everetti
zoothera andromedae,zoothera andromedae
zoothera aurea,zoothera aurea
zoothera dauma,zoothera dauma
zoothera neilgherriensis,zoothera neilgherriensis
zoothera imbricata,zoothera imbricata
zoothera major,zoothera major
zoothera terrestris,zoothera terrestris
zoothera turipavae,zoothera turipavae
zoothera margaretae,zoothera margaretae
zoothera heinei,zoothera heinei
zoothera machiki,zoothera machiki
zoothera lunulata,zoothera lunulata
zoothera talaseae,zoothera talaseae
,zoothera atrigena
geokichla sibirica,geokichla sibirica
geokichla wardii,geokichla wardii
geokichla princei,geokichla princei
geokichla camaronensis,geokichla camaronensis
geokichla guttata,geokichla guttata
geokichla spiloptera,geokichla spiloptera
geokichla crossleyi,geokichla crossleyi
geokichla piaggiae,geokichla piaggiae
geokichla oberlaenderi,geokichla oberlaenderi
geokichla gurneyi,geokichla gurneyi
geokichla citrina,geokichla citrina
geokichla dumasi,geokichla dumasi
geokichla joiceyi,geokichla joiceyi
geokichla peronii,geokichla peronii
geokichla schistacea,geokichla schistacea
geokichla interpres,geokichla interpres
geokichla leucolaema,geokichla leucolaema
geokichla dohertyi,geokichla dohertyi
geokichla cinerea,geokichla cinerea
geokichla erythronota,geokichla erythronota
geokichla mendeni,geokichla mendeni
turdus litsitsirupa,psophocichla litsitsirupa
turdus mupinensis,otocichla mupinensis
turdus philomelos,turdus philomelos
turdus viscivorus,turdus viscivorus
turdus pelios,turdus pelios
turdus xanthorhynchus,turdus xanthorhynchus
turdus olivaceofuscus,turdus olivaceofuscus
turdus abyssinicus,turdus abyssinicus
turdus helleri,turdus helleri
turdus roehli,turdus roehli
turdus olivaceus,turdus olivaceus
turdus libonyana,turdus libonyana
turdus bewsheri,turdus bewsheri
turdus tephronotus,turdus tephronotus
turdus smithi,turdus smithi
turdus ludoviciae,turdus ludoviciae
turdus mandarinus,turdus mandarinus
turdus iliacus,turdus iliacus
turdus merula,turdus merula
turdus menachensis,turdus menachensis
turdus niveiceps,turdus niveiceps
turdus boulboul,turdus boulboul
turdus simillimus,turdus simillimus
turdus unicolor,turdus unicolor
turdus dissimilis,turdus dissimilis
turdus cardis,turdus cardis
turdus hortulorum,turdus hortulorum
turdus obscurus,turdus obscurus
turdus pallidus,turdus pallidus
turdus feae,turdus feae
turdus chrysolaus,turdus chrysolaus
turdus celaenops,turdus celaenops
turdus poliocephalus,turdus poliocephalus
turdus maximus,turdus maximus
turdus kessleri,turdus kessleri
turdus pilaris,turdus pilaris
turdus torquatus,turdus torquatus
turdus atrogularis,turdus atrogularis
turdus ruficollis,turdus ruficollis
turdus eunomus,turdus eunomus
turdus naumanni,turdus naumanni
turdus rubrocanus,turdus rubrocanus
turdus albocinctus,turdus albocinctus
turdus turdoides,cataponera turdoides
turdus migratorius,turdus migratorius
turdus infuscatus,turdus infuscatus
turdus rufitorques,turdus rufitorques
turdus nigrescens,turdus nigrescens
turdus plumbeus,turdus plumbeus
turdus ravidus,turdus ravidus
turdus aurantius,turdus aurantius
turdus lherminieri,turdus lherminieri
turdus plebejus,turdus plebejus
turdus leucops,turdus leucops
turdus jamaicensis,turdus jamaicensis
turdus swalesi,turdus swalesi
turdus fulviventris,turdus fulviventris
turdus reevei,turdus reevei
turdus chiguanco,turdus chiguanco
turdus nigriceps,turdus nigriceps
turdus serranus,turdus serranus
turdus olivater,turdus olivater
turdus fuscater,turdus fuscater
turdus falcklandii,turdus falcklandii
turdus lawrencii,turdus lawrencii
turdus murinus,turdus murinus
turdus subalaris,turdus subalaris
turdus amaurochalinus,turdus amaurochalinus
turdus eremita,turdus eremita
turdus maranonicus,turdus maranonicus
turdus ignobilis,turdus ignobilis
turdus arthuri,turdus arthuri
turdus flavipes,turdus flavipes
turdus assimilis,turdus assimilis
turdus daguae,unknown
turdus albicollis,turdus albicollis
turdus rufopalliatus,turdus rufopalliatus
turdus obsoletus,turdus obsoletus
turdus leucomelas,turdus leucomelas
turdus fumigatus,turdus fumigatus
turdus hauxwelli,turdus hauxwelli
turdus rufiventris,turdus rufiventris
turdus grayi,turdus grayi
turdus nudigenis,turdus nudigenis
turdus maculirostris,turdus maculirostris
turdus sanchezorum,turdus sanchezorum
turdus haplochrous,turdus haplochrous
alethe diademata,alethe diademata
alethe castanea,alethe castanea
cercotrichas coryphoeus,cercotrichas coryphoeus
cercotrichas leucosticta,cercotrichas leucosticta
cercotrichas quadrivirgata,cercotrichas quadrivirgata
cercotrichas barbata,cercotrichas barbata
cercotrichas podobe,cercotrichas podobe
cercotrichas galactotes,cercotrichas galactotes
cercotrichas paena,cercotrichas paena
cercotrichas hartlaubi,cercotrichas hartlaubi
cercotrichas leucophrys,cercotrichas leucophrys
cercotrichas signata,cercotrichas signata
copsychus fulicatus,copsychus fulicatus
copsychus saularis,copsychus saularis
copsychus pyrropygus,copsychus pyrropygus
copsychus albospecularis,copsychus albospecularis
copsychus sechellarum,copsychus sechellarum
copsychus mindanensis,copsychus mindanensis
copsychus malabaricus,copsychus malabaricus
copsychus albiventris,copsychus albiventris
copsychus stricklandii,unknown
copsychus luzoniensis,copsychus luzoniensis
copsychus superciliaris,copsychus superciliaris
copsychus niger,copsychus niger
copsychus cebuensis,copsychus cebuensis
fraseria ocreata,fraseria ocreata
fraseria cinerascens,fraseria cinerascens
myioparus griseigularis,fraseria griseigularis
myioparus plumbeus,fraseria plumbea
melaenornis brunneus,melaenornis brunneus
melaenornis fischeri,melaenornis fischeri
melaenornis chocolatinus,melaenornis chocolatinus
melaenornis annamarulae,melaenornis annamarulae
melaenornis ardesiacus,melaenornis ardesiacus
melaenornis edolioides,melaenornis edolioides
melaenornis pammelaina,melaenornis pammelaina
melaenornis pallidus,agricola pallidus
melaenornis infuscatus,agricola infuscatus
melaenornis microrhynchus,bradornis microrhynchus
melaenornis mariquensis,bradornis mariquensis
melaenornis silens,melaenornis silens
empidornis semipartitus,melaenornis semipartitus
muscicapa striata,muscicapa striata
muscicapa tyrrhenica,unknown
muscicapa gambagae,muscicapa gambagae
muscicapa griseisticta,muscicapa griseisticta
muscicapa sibirica,muscicapa sibirica
muscicapa dauurica,muscicapa dauurica
muscicapa sodhii,muscicapa sodhii
muscicapa williamsoni,muscicapa williamsoni
muscicapa randi,muscicapa randi
muscicapa segregata,muscicapa segregata
muscicapa muttui,muscicapa muttui
muscicapa ferruginea,muscicapa ferruginea
muscicapa caerulescens,fraseria caerulescens
muscicapa aquatica,muscicapa aquatica
muscicapa cassini,muscicapa cassini
muscicapa olivascens,fraseria olivascens
muscicapa lendu,fraseria lendu
muscicapa itombwensis,unknown
muscicapa adusta,muscicapa adusta
muscicapa epulata,muscicapa epulata
muscicapa sethsmithi,muscicapa sethsmithi
muscicapa comitata,bradornis comitatus
muscicapa tessmanni,fraseria tessmanni
muscicapa infuscata,bradornis fuliginosus
muscicapa ussheri,bradornis ussheri
muscicapa boehmi,bradornis boehmi
leucoptilon concretum,cyornis concretus
anthipes monileger,anthipes monileger
anthipes solitaris,anthipes solitaris
cyornis hainanus,cyornis hainanus
cyornis unicolor,cyornis unicolor
cyornis ruckii,cyornis ruckii
cyornis herioti,cyornis herioti
cyornis pallidipes,cyornis pallidipes
cyornis poliogenys,cyornis poliogenys
cyornis whitei,cyornis whitei
cyornis banyumas,cyornis banyumas
cyornis montanus,cyornis montanus
cyornis kadayangensis,unknown
cyornis magnirostris,cyornis magnirostris
cyornis lemprieri,cyornis lemprieri
cyornis tickelliae,cyornis tickelliae
cyornis sumatrensis,cyornis sumatrensis
cyornis caerulatus,cyornis caerulatus
cyornis superbus,cyornis superbus
cyornis rubeculoides,cyornis rubeculoides
cyornis glaucicomans,cyornis glaucicomans
cyornis turcosus,cyornis turcosus
cyornis rufigastra,cyornis rufigastra
cyornis djampeanus,unknown
cyornis omissus,cyornis omissus
cyornis hyacinthinus,cyornis hyacinthinus
cyornis hoevelli,cyornis hoevelli
cyornis sanfordi,cyornis sanfordi
cyornis oscillans,cyornis oscillans
cyornis stresemanni,unknown
cyornis brunneatus,cyornis brunneatus
cyornis nicobaricus,cyornis nicobaricus
cyornis olivaceus,cyornis olivaceus
cyornis umbratilis,cyornis umbratilis
cyornis ruficrissa,unknown
cyornis ocularis,unknown
cyornis ruficauda,cyornis ruficauda
cyornis colonus,cyornis colonus
cyornis pelingensis,cyornis pelingensis
niltava davidi,niltava davidi
niltava sundara,niltava sundara
niltava sumatrana,niltava sumatrana
niltava oatesi,unknown
niltava vivida,niltava vivida
niltava grandis,niltava grandis
niltava macgrigoriae,niltava macgrigoriae
cyanoptila cyanomelana,cyanoptila cyanomelana
cyanoptila cumatilis,cyanoptila cumatilis
eumyias sordidus,eumyias sordidus
eumyias thalassinus,eumyias thalassinus
eumyias panayensis,eumyias panayensis
eumyias albicaudatus,eumyias albicaudatus
eumyias indigo,eumyias indigo
eumyias additus,eumyias additus
erithacus rubecula,erithacus rubecula
chamaetylas poliophrys,chamaetylas poliophrys
chamaetylas poliocephala,chamaetylas poliocephala
chamaetylas fuelleborni,chamaetylas fuelleborni
chamaetylas choloensis,chamaetylas choloensis
cossyphicula roberti,cossyphicula roberti
cossypha isabellae,cossypha isabellae
cossypha archeri,cossypha archeri
cossypha anomala,cossypha anomala
cossypha caffra,cossypha caffra
cossypha humeralis,cossypha humeralis
cossypha polioptera,cossypha polioptera
cossypha cyanocampter,cossypha cyanocampter
cossypha semirufa,cossypha semirufa
cossypha heuglini,cossypha heuglini
cossypha natalensis,cossypha natalensis
cossypha dichroa,cossypha dichroa
